identifier_type,identifier_value,iso3,notes
iso3,AFG,AFG,
iso2,AF,AFG,
country_name,Afghanistan,AFG,official short name from target_countries.xlsx
iso3,AGO,AGO,
iso2,AO,AGO,
country_name,Angola,AGO,official short name from target_countries.xlsx
iso3,ALB,ALB,
iso2,AL,ALB,
country_name,Albania,ALB,official short name from target_countries.xlsx
iso3,AND,AND,
iso2,AD,AND,
country_name,Andorra,AND,official short name from target_countries.xlsx
iso3,ARE,ARE,
iso2,AE,ARE,
country_name,United Arab Emirates,ARE,official short name from target_countries.xlsx
iso3,ARG,ARG,
iso2,AR,ARG,
country_name,Argentina,ARG,official short name from target_countries.xlsx
iso3,ARM,ARM,
iso2,AM,ARM,
country_name,Armenia,ARM,official short name from target_countries.xlsx
iso3,ATG,ATG,
iso2,AG,ATG,
country_name,Antigua and Barbuda,ATG,official short name from target_countries.xlsx
iso3,AUS,AUS,
iso2,AU,AUS,
country_name,Australia,AUS,official short name from target_countries.xlsx
iso3,AUT,AUT,
iso2,AT,AUT,
country_name,Austria,AUT,official short name from target_countries.xlsx
iso3,AZE,AZE,
iso2,AZ,AZE,
country_name,Azerbaijan,AZE,official short name from target_countries.xlsx
iso3,BDI,BDI,
iso2,BI,BDI,
country_name,Burundi,BDI,official short name from target_countries.xlsx
iso3,BEL,BEL,
iso2,BE,BEL,
country_name,Belgium,BEL,official short name from target_countries.xlsx
iso3,BEN,BEN,
iso2,BJ,BEN,
country_name,Benin,BEN,official short name from target_countries.xlsx
iso3,BFA,BFA,
iso2,BF,BFA,
country_name,Burkina Faso,BFA,official short name from target_countries.xlsx
iso3,BGD,BGD,
iso2,BD,BGD,
country_name,Bangladesh,BGD,official short name from target_countries.xlsx
iso3,BGR,BGR,
iso2,BG,BGR,
country_name,Bulgaria,BGR,official short name from target_countries.xlsx
iso3,BHR,BHR,
iso2,BH,BHR,
country_name,Bahrain,BHR,official short name from target_countries.xlsx
iso3,BHS,BHS,
iso2,BS,BHS,
country_name,Bahamas,BHS,official short name from target_countries.xlsx
iso3,BIH,BIH,
iso2,BA,BIH,
country_name,Bosnia and Herzegovina,BIH,official short name from target_countries.xlsx
iso3,BLR,BLR,
iso2,BY,BLR,
country_name,Belarus,BLR,official short name from target_countries.xlsx
iso3,BLZ,BLZ,
iso2,BZ,BLZ,
country_name,Belize,BLZ,official short name from target_countries.xlsx
iso3,BOL,BOL,
iso2,BO,BOL,
country_name,"Bolivia, Plurinational State of",BOL,official short name from target_countries.xlsx
iso3,BRA,BRA,
iso2,BR,BRA,
country_name,Brazil,BRA,official short name from target_countries.xlsx
iso3,BRB,BRB,
iso2,BB,BRB,
country_name,Barbados,BRB,official short name from target_countries.xlsx
iso3,BRN,BRN,
iso2,BN,BRN,
country_name,Brunei Darussalam,BRN,official short name from target_countries.xlsx
iso3,BTN,BTN,
iso2,BT,BTN,
country_name,Bhutan,BTN,official short name from target_countries.xlsx
iso3,BWA,BWA,
iso2,BW,BWA,
country_name,Botswana,BWA,official short name from target_countries.xlsx
iso3,CAF,CAF,
iso2,CF,CAF,
country_name,Central African Republic,CAF,official short name from target_countries.xlsx
iso3,CAN,CAN,
iso2,CA,CAN,
country_name,Canada,CAN,official short name from target_countries.xlsx
iso3,CHE,CHE,
iso2,CH,CHE,
country_name,Switzerland,CHE,official short name from target_countries.xlsx
iso3,CHL,CHL,
iso2,CL,CHL,
country_name,Chile,CHL,official short name from target_countries.xlsx
iso3,CHN,CHN,
iso2,CN,CHN,
country_name,China,CHN,official short name from target_countries.xlsx
iso3,CIV,CIV,
iso2,CI,CIV,
country_name,Côte d'Ivoire,CIV,official short name from target_countries.xlsx
iso3,CMR,CMR,
iso2,CM,CMR,
country_name,Cameroon,CMR,official short name from target_countries.xlsx
iso3,COD,COD,
iso2,CD,COD,
country_name,"Congo, The Democratic Republic of the",COD,official short name from target_countries.xlsx
iso3,COG,COG,
iso2,CG,COG,
country_name,Congo,COG,official short name from target_countries.xlsx
iso3,COL,COL,
iso2,CO,COL,
country_name,Colombia,COL,official short name from target_countries.xlsx
iso3,COM,COM,
iso2,KM,COM,
country_name,Comoros,COM,official short name from target_countries.xlsx
iso3,CPV,CPV,
iso2,CV,CPV,
country_name,Cabo Verde,CPV,official short name from target_countries.xlsx
iso3,CRI,CRI,
iso2,CR,CRI,
country_name,Costa Rica,CRI,official short name from target_countries.xlsx
iso3,CUB,CUB,
iso2,CU,CUB,
country_name,Cuba,CUB,official short name from target_countries.xlsx
iso3,CYP,CYP,
iso2,CY,CYP,
country_name,Cyprus,CYP,official short name from target_countries.xlsx
iso3,CZE,CZE,
iso2,CZ,CZE,
country_name,Czechia,CZE,official short name from target_countries.xlsx
iso3,DEU,DEU,
iso2,DE,DEU,
country_name,Germany,DEU,official short name from target_countries.xlsx
iso3,DJI,DJI,
iso2,DJ,DJI,
country_name,Djibouti,DJI,official short name from target_countries.xlsx
iso3,DMA,DMA,
iso2,DM,DMA,
country_name,Dominica,DMA,official short name from target_countries.xlsx
iso3,DNK,DNK,
iso2,DK,DNK,
country_name,Denmark,DNK,official short name from target_countries.xlsx
iso3,DOM,DOM,
iso2,DO,DOM,
country_name,Dominican Republic,DOM,official short name from target_countries.xlsx
iso3,DZA,DZA,
iso2,DZ,DZA,
country_name,Algeria,DZA,official short name from target_countries.xlsx
iso3,ECU,ECU,
iso2,EC,ECU,
country_name,Ecuador,ECU,official short name from target_countries.xlsx
iso3,EGY,EGY,
iso2,EG,EGY,
country_name,Egypt,EGY,official short name from target_countries.xlsx
iso3,ERI,ERI,
iso2,ER,ERI,
country_name,Eritrea,ERI,official short name from target_countries.xlsx
iso3,ESP,ESP,
iso2,ES,ESP,
country_name,Spain,ESP,official short name from target_countries.xlsx
iso3,EST,EST,
iso2,EE,EST,
country_name,Estonia,EST,official short name from target_countries.xlsx
iso3,ETH,ETH,
iso2,ET,ETH,
country_name,Ethiopia,ETH,official short name from target_countries.xlsx
iso3,FIN,FIN,
iso2,FI,FIN,
country_name,Finland,FIN,official short name from target_countries.xlsx
iso3,FJI,FJI,
iso2,FJ,FJI,
country_name,Fiji,FJI,official short name from target_countries.xlsx
iso3,FRA,FRA,
iso2,FR,FRA,
country_name,France,FRA,official short name from target_countries.xlsx
iso3,FSM,FSM,
iso2,FM,FSM,
country_name,"Micronesia, Federated States of",FSM,official short name from target_countries.xlsx
iso3,GAB,GAB,
iso2,GA,GAB,
country_name,Gabon,GAB,official short name from target_countries.xlsx
iso3,GBR,GBR,
iso2,GB,GBR,
country_name,United Kingdom,GBR,official short name from target_countries.xlsx
iso3,GEO,GEO,
iso2,GE,GEO,
country_name,Georgia,GEO,official short name from target_countries.xlsx
iso3,GHA,GHA,
iso2,GH,GHA,
country_name,Ghana,GHA,official short name from target_countries.xlsx
iso3,GIN,GIN,
iso2,GN,GIN,
country_name,Guinea,GIN,official short name from target_countries.xlsx
iso3,GMB,GMB,
iso2,GM,GMB,
country_name,Gambia,GMB,official short name from target_countries.xlsx
iso3,GNB,GNB,
iso2,GW,GNB,
country_name,Guinea-Bissau,GNB,official short name from target_countries.xlsx
iso3,GNQ,GNQ,
iso2,GQ,GNQ,
country_name,Equatorial Guinea,GNQ,official short name from target_countries.xlsx
iso3,GRC,GRC,
iso2,GR,GRC,
country_name,Greece,GRC,official short name from target_countries.xlsx
iso3,GRD,GRD,
iso2,GD,GRD,
country_name,Grenada,GRD,official short name from target_countries.xlsx
iso3,GTM,GTM,
iso2,GT,GTM,
country_name,Guatemala,GTM,official short name from target_countries.xlsx
iso3,GUY,GUY,
iso2,GY,GUY,
country_name,Guyana,GUY,official short name from target_countries.xlsx
iso3,HND,HND,
iso2,HN,HND,
country_name,Honduras,HND,official short name from target_countries.xlsx
iso3,HRV,HRV,
iso2,HR,HRV,
country_name,Croatia,HRV,official short name from target_countries.xlsx
iso3,HTI,HTI,
iso2,HT,HTI,
country_name,Haiti,HTI,official short name from target_countries.xlsx
iso3,HUN,HUN,
iso2,HU,HUN,
country_name,Hungary,HUN,official short name from target_countries.xlsx
iso3,IDN,IDN,
iso2,ID,IDN,
country_name,Indonesia,IDN,official short name from target_countries.xlsx
iso3,IND,IND,
iso2,IN,IND,
country_name,India,IND,official short name from target_countries.xlsx
iso3,IRL,IRL,
iso2,IE,IRL,
country_name,Ireland,IRL,official short name from target_countries.xlsx
iso3,IRN,IRN,
iso2,IR,IRN,
country_name,"Iran, Islamic Republic of",IRN,official short name from target_countries.xlsx
iso3,IRQ,IRQ,
iso2,IQ,IRQ,
country_name,Iraq,IRQ,official short name from target_countries.xlsx
iso3,ISL,ISL,
iso2,IS,ISL,
country_name,Iceland,ISL,official short name from target_countries.xlsx
iso3,ISR,ISR,
iso2,IL,ISR,
country_name,Israel,ISR,official short name from target_countries.xlsx
iso3,ITA,ITA,
iso2,IT,ITA,
country_name,Italy,ITA,official short name from target_countries.xlsx
iso3,JAM,JAM,
iso2,JM,JAM,
country_name,Jamaica,JAM,official short name from target_countries.xlsx
iso3,JOR,JOR,
iso2,JO,JOR,
country_name,Jordan,JOR,official short name from target_countries.xlsx
iso3,JPN,JPN,
iso2,JP,JPN,
country_name,Japan,JPN,official short name from target_countries.xlsx
iso3,KAZ,KAZ,
iso2,KZ,KAZ,
country_name,Kazakhstan,KAZ,official short name from target_countries.xlsx
iso3,KEN,KEN,
iso2,KE,KEN,
country_name,Kenya,KEN,official short name from target_countries.xlsx
iso3,KGZ,KGZ,
iso2,KG,KGZ,
country_name,Kyrgyzstan,KGZ,official short name from target_countries.xlsx
iso3,KHM,KHM,
iso2,KH,KHM,
country_name,Cambodia,KHM,official short name from target_countries.xlsx
iso3,KIR,KIR,
iso2,KI,KIR,
country_name,Kiribati,KIR,official short name from target_countries.xlsx
iso3,KNA,KNA,
iso2,KN,KNA,
country_name,Saint Kitts and Nevis,KNA,official short name from target_countries.xlsx
iso3,KOR,KOR,
iso2,KR,KOR,
country_name,"Korea, Republic of",KOR,official short name from target_countries.xlsx
iso3,KWT,KWT,
iso2,KW,KWT,
country_name,Kuwait,KWT,official short name from target_countries.xlsx
iso3,LAO,LAO,
iso2,LA,LAO,
country_name,Lao People's Democratic Republic,LAO,official short name from target_countries.xlsx
iso3,LBN,LBN,
iso2,LB,LBN,
country_name,Lebanon,LBN,official short name from target_countries.xlsx
iso3,LBR,LBR,
iso2,LR,LBR,
country_name,Liberia,LBR,official short name from target_countries.xlsx
iso3,LBY,LBY,
iso2,LY,LBY,
country_name,Libya,LBY,official short name from target_countries.xlsx
iso3,LCA,LCA,
iso2,LC,LCA,
country_name,Saint Lucia,LCA,official short name from target_countries.xlsx
iso3,LIE,LIE,
iso2,LI,LIE,
country_name,Liechtenstein,LIE,official short name from target_countries.xlsx
iso3,LKA,LKA,
iso2,LK,LKA,
country_name,Sri Lanka,LKA,official short name from target_countries.xlsx
iso3,LSO,LSO,
iso2,LS,LSO,
country_name,Lesotho,LSO,official short name from target_countries.xlsx
iso3,LTU,LTU,
iso2,LT,LTU,
country_name,Lithuania,LTU,official short name from target_countries.xlsx
iso3,LUX,LUX,
iso2,LU,LUX,
country_name,Luxembourg,LUX,official short name from target_countries.xlsx
iso3,LVA,LVA,
iso2,LV,LVA,
country_name,Latvia,LVA,official short name from target_countries.xlsx
iso3,MAR,MAR,
iso2,MA,MAR,
country_name,Morocco,MAR,official short name from target_countries.xlsx
iso3,MCO,MCO,
iso2,MC,MCO,
country_name,Monaco,MCO,official short name from target_countries.xlsx
iso3,MDA,MDA,
iso2,MD,MDA,
