country,country_id,year,type_of_violence,best_deaths
Afghanistan,700,2019,1,29940
Afghanistan,700,2019,2,113
Afghanistan,700,2019,3,382
Afghanistan,700,2020,1,20489
Afghanistan,700,2020,2,0
Afghanistan,700,2020,3,345
Afghanistan,700,2021,1,35787
Afghanistan,700,2021,2,11
Afghanistan,700,2021,3,588
Afghanistan,700,2022,1,926
Afghanistan,700,2022,3,642
Afghanistan,700,2023,1,230
Afghanistan,700,2023,3,105
Algeria,615,2019,1,14
Algeria,615,2019,3,1
Algeria,615,2020,1,28
Algeria,615,2021,1,18
Algeria,615,2022,1,14
Algeria,615,2023,1,1
Angola,540,2019,1,25
Angola,540,2019,3,1
Angola,540,2020,1,21
Angola,540,2020,3,8
Angola,540,2021,3,13
Angola,540,2022,1,20
Angola,540,2022,3,1
Angola,540,2023,1,0
Armenia,371,2019,1,2
Armenia,371,2020,1,10
Armenia,371,2021,1,10
Armenia,371,2022,1,154
Armenia,371,2023,1,20
Austria,305,2020,3,4
Azerbaijan,373,2019,1,9
Azerbaijan,373,2020,1,7636
Azerbaijan,373,2021,1,30
Azerbaijan,373,2022,1,154
Azerbaijan,373,2023,1,442
Bangladesh,771,2019,1,3
Bangladesh,771,2019,3,0
Bangladesh,771,2020,1,3
Bangladesh,771,2020,3,2
Bangladesh,771,2021,2,1
Bangladesh,771,2021,3,1
Bangladesh,771,2022,1,6
Bangladesh,771,2022,3,7
Bangladesh,771,2023,2,3
Bangladesh,771,2023,3,9
Belgium,211,2023,3,2
Benin,434,2019,3,1
Benin,434,2020,1,1
Benin,434,2021,1,11
Benin,434,2022,1,30
Benin,434,2023,1,28
Benin,434,2023,3,18
Bolivia,145,2021,2,1
Bolivia,145,2023,2,1
Brazil,140,2019,2,1638
Brazil,140,2019,3,47
Brazil,140,2020,2,2635
Brazil,140,2020,3,33
Brazil,140,2021,2,2574
Brazil,140,2021,3,85
Brazil,140,2022,2,1513
Brazil,140,2022,3,143
Brazil,140,2023,2,2285
Brazil,140,2023,3,173
Burkina Faso,439,2019,1,349
Burkina Faso,439,2019,2,29
Burkina Faso,439,2019,3,868
Burkina Faso,439,2020,1,512
Burkina Faso,439,2020,2,152
Burkina Faso,439,2020,3,503
Burkina Faso,439,2021,1,991
Burkina Faso,439,2021,2,82
Burkina Faso,439,2021,3,385
Burkina Faso,439,2022,1,2003
Burkina Faso,439,2022,2,44
Burkina Faso,439,2022,3,562
Burkina Faso,439,2023,1,4605
Burkina Faso,439,2023,2,178
Burkina Faso,439,2023,3,1326
Burundi,516,2019,1,16
Burundi,516,2019,3,59
Burundi,516,2020,1,63
Burundi,516,2020,3,82
Burundi,516,2021,1,24
Burundi,516,2021,3,57
Burundi,516,2022,1,10
Burundi,516,2022,3,38
Burundi,516,2023,1,85
Burundi,516,2023,3,38
Cameroon,471,2019,1,714
Cameroon,471,2019,2,7
Cameroon,471,2019,3,147
Cameroon,471,2020,1,440
Cameroon,471,2020,2,1
Cameroon,471,2020,3,351
Cameroon,471,2021,1,603
Cameroon,471,2021,2,34
Cameroon,471,2021,3,190
Cameroon,471,2022,1,415
