iso3,name,lon,lat,region_un,subregion,continent,region_wb
FJI,Fiji,177.975427,-17.826099,Oceania,Melanesia,Oceania,East Asia & Pacific
TZA,Tanzania,34.959183,-6.051866,Africa,Eastern Africa,Africa,Sub-Saharan Africa
ESH,Western Sahara,-12.630304,23.967592,Africa,Northern Africa,Africa,Middle East & North Africa
CAN,Canada,-101.9107,60.324287,Americas,Northern America,North America,North America
USA,United States,-97.482602,39.538479,Americas,Northern America,North America,North America
KAZ,Kazakhstan,68.685548,49.054149,Asia,Central Asia,Asia,Europe & Central Asia
UZB,Uzbekistan,64.005429,41.693603,Asia,Central Asia,Asia,Europe & Central Asia
PNG,Papua New Guinea,143.910216,-5.695285,Oceania,Melanesia,Oceania,East Asia & Pacific
IDN,Indonesia,101.892949,-0.954404,Asia,South-Eastern Asia,Asia,East Asia & Pacific
ARG,Argentina,-64.173331,-33.501159,Americas,South America,South America,Latin America & Caribbean
CHL,Chile,-72.318871,-38.151771,Americas,South America,South America,Latin America & Caribbean
COD,Democratic Republic of the Congo,23.458829,-1.858167,Africa,Middle Africa,Africa,Sub-Saharan Africa
SOM,Somalia,45.19238,3.568925,Africa,Eastern Africa,Africa,Sub-Saharan Africa
KEN,Kenya,37.907632,0.549043,Africa,Eastern Africa,Africa,Sub-Saharan Africa
SDN,Sudan,29.260657,16.330746,Africa,Northern Africa,Africa,Sub-Saharan Africa
TCD,Chad,18.645041,15.142959,Africa,Middle Africa,Africa,Sub-Saharan Africa
HTI,Haiti,-72.224051,19.263784,Americas,Caribbean,North America,Latin America & Caribbean
DOM,Dominican Republic,-70.653998,19.104137,Americas,Caribbean,North America,Latin America & Caribbean
RUS,Russian Federation,44.686469,58.249357,Europe,Eastern Europe,Europe,Europe & Central Asia
BHS,Bahamas,-77.146688,26.401789,Americas,Caribbean,North America,Latin America & Caribbean
FLK,Falkland Islands / Malvinas,-58.738602,-51.608913,Americas,South America,South America,Latin America & Caribbean
NOR,Norway,9.679975,61.357092,Europe,Northern Europe,Europe,Europe & Central Asia
GRL,Greenland,-39.335251,74.319387,Americas,Northern America,North America,Europe & Central Asia
ATF,French Southern and Antarctic Lands,69.122136,-49.303721,Africa,Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa
TLS,Timor-Leste,125.854679,-8.803705,Asia,South-Eastern Asia,Asia,East Asia & Pacific
ZAF,South Africa,23.665734,-29.708776,Africa,Southern Africa,Africa,Sub-Saharan Africa
LSO,Lesotho,28.246639,-29.480158,Africa,Southern Africa,Africa,Sub-Saharan Africa
MEX,Mexico,-102.289448,23.919988,Americas,Central America,North America,Latin America & Caribbean
URY,Uruguay,-55.966942,-32.961127,Americas,South America,South America,Latin America & Caribbean
BRA,Brazil,-49.55945,-12.098687,Americas,South America,South America,Latin America & Caribbean
BOL,Bolivia,-64.593433,-16.666015,Americas,South America,South America,Latin America & Caribbean
PER,Peru,-72.90016,-12.976679,Americas,South America,South America,Latin America & Caribbean
COL,Colombia,-73.174347,3.373111,Americas,South America,South America,Latin America & Caribbean
PAN,Panama,-80.352106,8.72198,Americas,Central America,North America,Latin America & Caribbean
CRI,Costa Rica,-84.077922,10.0651,Americas,Central America,North America,Latin America & Caribbean
NIC,Nicaragua,-85.069347,12.670697,Americas,Central America,North America,Latin America & Caribbean
HND,Honduras,-86.887604,14.794801,Americas,Central America,North America,Latin America & Caribbean
SLV,El Salvador,-88.890124,13.685371,Americas,Central America,North America,Latin America & Caribbean
GTM,Guatemala,-90.497134,14.982133,Americas,Central America,North America,Latin America & Caribbean
BLZ,Belize,-88.712962,17.202068,Americas,Central America,North America,Latin America & Caribbean
VEN,Venezuela,-64.599381,7.182476,Americas,South America,South America,Latin America & Caribbean
GUY,Guyana,-58.942643,5.124317,Americas,South America,South America,Latin America & Caribbean
SUR,Suriname,-55.91094,4.143987,Americas,South America,South America,Latin America & Caribbean
FRA,France,2.552275,46.696113,Europe,Western Europe,Europe,Europe & Central Asia
ECU,Ecuador,-78.188375,-1.259076,Americas,South America,South America,Latin America & Caribbean
PRI,Puerto Rico,-66.481065,18.234668,Americas,Caribbean,North America,Latin America & Caribbean
JAM,Jamaica,-77.318767,18.137124,Americas,Caribbean,North America,Latin America & Caribbean
CUB,Cuba,-77.975855,21.334024,Americas,Caribbean,North America,Latin America & Caribbean
ZWE,Zimbabwe,29.925444,-18.91164,Africa,Eastern Africa,Africa,Sub-Saharan Africa
BWA,Botswana,24.179216,-22.102634,Africa,Southern Africa,Africa,Sub-Saharan Africa
NAM,Namibia,17.108166,-20.575298,Africa,Southern Africa,Africa,Sub-Saharan Africa
SEN,Senegal,-14.778586,15.138125,Africa,Western Africa,Africa,Sub-Saharan Africa
MLI,Mali,-2.038455,18.692713,Africa,Western Africa,Africa,Sub-Saharan Africa
MRT,Mauritania,-9.740299,19.587062,Africa,Western Africa,Africa,Sub-Saharan Africa
BEN,Benin,2.352018,10.324775,Africa,Western Africa,Africa,Sub-Saharan Africa
NER,Niger,9.504356,17.446195,Africa,Western Africa,Africa,Sub-Saharan Africa
NGA,Nigeria,7.50322,9.439799,Africa,Western Africa,Africa,Sub-Saharan Africa
CMR,Cameroon,12.473488,4.585041,Africa,Middle Africa,Africa,Sub-Saharan Africa
