iso3,age_child_labor_prevalence,age_out_of_school_rate,age_child_cohort_share,age_child_marriage_rate
AFG,0.2325,,0.8222,0.4783
AGO,,0.3655,0.8588,0.505
ALB,0.1375,0.0908,0.171,0.1967
AND,,0.1229,0.0471,
ARE,,0.0002,0.1528,
ARG,0.1256,0.0139,0.2901,0.2583
ARM,0.2475,0.0536,0.2309,0.0883
ATG,,0.013,0.195,
AUS,,0.0309,0.196,
AUT,,0.0204,0.1057,
AZE,0.13,0.1352,0.2953,0.1833
BDI,0.7975,0.5903,0.8675,0.3167
BEL,,0.0256,0.1499,0.0017
BEN,0.6025,0.7861,0.7888,0.4583
BFA,1.0,0.9885,0.7951,0.6367
BGD,0.1251,0.3991,0.4497,0.8567
BGR,,0.1135,0.1119,
BHR,,0.0446,0.2179,
BHS,,0.2598,0.1978,
BIH,0.265,0.0284,0.0759,0.0583
BLR,0.0575,0.0737,0.1574,0.0783
BLZ,,0.119,0.4145,0.5583
BOL,0.348,0.1351,0.4947,0.3283
BRA,0.0635,0.0595,0.2416,0.4367
BRB,,0.0376,0.181,0.4867
BRN,,0.0552,0.2706,
BTN,,0.1681,0.2727,0.43
BWA,,0.1529,0.5532,
CAF,0.93,1.0,0.9751,1.0
CAN,,0.0205,0.1278,
CHE,,0.0018,0.1238,
CHL,0.1125,0.0166,0.1742,
CHN,,,0.1502,0.0467
CIV,0.9125,0.5134,0.7718,0.43
CMR,1.0,0.785,0.7861,0.4967
COD,1.0,,0.9008,0.485
COG,0.7875,,0.7611,0.455
COL,0.139,0.074,0.2568,0.39
COM,,0.4712,0.678,0.345
CPV,,1.0,0.3887,0.14
CRI,0.0328,0.1262,0.22,0.285
CUB,,0.128,0.1323,0.49
CYP,,0.0006,0.1518,
CZE,,0.0067,0.1349,
DEU,,0.0066,0.0978,
DJI,,,0.4793,0.1083
DMA,,0.1244,0.1968,
DNK,,0.0178,0.1424,0.0117
DOM,0.3299,0.1634,0.4145,0.525
DZA,0.1875,0.0086,0.5082,0.0633
ECU,0.1391,0.227,0.3614,0.37
EGY,0.0725,0.1107,0.5499,0.2633
ERI,,0.6181,0.7034,0.6783
ESP,,0.0298,0.073,
EST,,0.0436,0.1409,
ETH,0.6525,0.9128,0.7265,0.6717
FIN,,0.0213,0.1158,0.0017
FJI,,0.0474,0.4273,0.0667
FRA,,0.0019,0.1626,
FSM,,0.3736,0.5462,
GAB,0.6,0.596,0.6621,0.2217
GBR,,0.0221,0.1796,0.0
GEO,0.795,0.0264,0.27,0.2317
GHA,0.719,0.0861,0.6455,0.2683
GIN,0.9525,0.8582,0.7725,0.775
GMB,0.5938,0.233,0.7562,0.385
GNB,1.0,,0.7196,0.4283
GNQ,,,0.6821,0.4917
GRC,,0.0163,0.0805,
GRD,,0.0616,0.236,
GTM,0.1811,0.5397,0.5394,0.4917
GUY,,0.4445,0.479,0.5383
HND,0.2625,0.7389,0.5155,0.5667
HRV,,0.0243,0.0981,
HTI,0.945,,0.5297,0.2483
HUN,,0.0509,0.11,
IDN,0.0925,0.006,0.3649,0.2717
IND,0.0425,0.251,0.3656,0.3717
IRL,,0.0009,0.2139,
IRN,,0.1263,0.311,0.2783
IRQ,0.16,0.5514,0.6645,0.465
ISL,,0.0264,0.1941,
ISR,,0.0359,0.4352,
ITA,,0.0323,0.0473,
JAM,0.155,0.3446,0.2176,0.1317
JOR,0.0307,0.0329,0.5167,0.1617
JPN,,0.0005,0.0359,
KAZ,0.09,0.0721,0.4843,0.1167
