iso3,aux_emdat_disaster_shock,disaster_mortality_intensity,disaster_affected_intensity
AFG,0.2198,0.1391,0.3004
AGO,0.063,0.0037,0.1223
ALB,0.0,0.0,0.0
AND,0.0,0.0,0.0
ARE,0.0002,0.0004,0.0
ARG,0.0111,0.0007,0.0216
ARM,0.0042,0.0013,0.007
ATG,0.0,0.0,0.0
AUS,0.0063,0.0019,0.0107
AUT,0.0012,0.0021,0.0002
AZE,0.0,0.0,0.0
BDI,0.0142,0.0039,0.0246
BEL,0.0062,0.0036,0.0089
BEN,0.0074,0.0044,0.0104
BFA,0.1394,0.001,0.2778
BGD,0.1083,0.0043,0.2123
BGR,0.0018,0.0012,0.0024
BHR,0.0,0.0,0.0
BHS,0.0,0.0,0.0
BIH,0.0499,0.0095,0.0903
BLR,0.0,0.0,0.0
BLZ,0.2795,0.0,0.5589
BOL,0.1339,0.0154,0.2524
BRA,0.018,0.0057,0.0304
BRB,0.0106,0.0,0.0212
BRN,0.0,0.0,0.0
BTN,0.0066,0.0126,0.0006
BWA,0.0282,0.0,0.0563
CAF,0.225,0.003,0.4469
CAN,0.002,0.0009,0.0031
CHE,0.0024,0.0031,0.0017
CHL,0.0082,0.0088,0.0077
CHN,0.0157,0.0015,0.0299
CIV,0.0015,0.002,0.001
CMR,0.0613,0.0136,0.1091
COD,0.1522,0.0362,0.2682
COG,0.1802,0.0188,0.3416
COL,0.023,0.0062,0.0398
COM,0.1289,0.1719,0.086
CPV,0.0936,0.0171,0.1701
CRI,0.1611,0.0021,0.32
CUB,0.3576,0.0023,0.7129
CYP,0.0017,0.0029,0.0005
CZE,0.0127,0.0021,0.0233
DEU,0.0016,0.0031,0.0001
DJI,0.1327,0.0068,0.2585
DMA,0.0,0.0,0.0
DNK,0.0001,0.0002,0.0
DOM,0.0934,0.0044,0.1825
DZA,0.004,0.0056,0.0024
ECU,0.0215,0.0125,0.0304
EGY,0.0003,0.0004,0.0002
ERI,0.0,0.0,0.0
ESP,0.0035,0.0054,0.0015
EST,0.0,0.0,0.0
ETH,0.1329,0.0057,0.2601
FIN,0.0,0.0,0.0
