iso3,ucdp_conflict_intensity
AFG,1.0
AGO,0.0023
ALB,0.0
AND,0.0
ARE,0.0003
ARG,0.0
ARM,0.0646
ATG,0.0
AUS,0.0
AUT,0.0004
AZE,0.8107
BDI,0.0336
BEL,0.0002
BEN,0.0062
BFA,0.5346
BGD,0.0002
BGR,0.0
BHR,0.0
BHS,0.0
BIH,0.0
BLR,0.0
BLZ,0.0
BOL,0.0002
BRA,0.0525
BRB,0.0
BRN,0.0
BTN,0.0
BWA,0.0
CAF,0.5767
CAN,0.0
CHE,0.0
CHL,0.0
CHN,0.0
CIV,0.0001
CMR,0.1302
COD,0.1828
COG,0.0005
COL,0.026
COM,0.0
CPV,0.0
CRI,0.0
CUB,0.0
CYP,0.0
CZE,0.0
DEU,0.0
DJI,0.0026
DMA,0.0
DNK,0.0
DOM,0.0
DZA,0.0016
ECU,0.0244
EGY,0.0135
ERI,0.0011
ESP,0.0
EST,0.0
ETH,1.0
FIN,0.0
FJI,0.0
FRA,0.0007
FSM,0.0
GAB,0.0
GBR,0.0001
GEO,0.0003
GHA,0.0009
GIN,0.0035
GMB,0.0
GNB,0.0
GNQ,0.0
GRC,0.0
GRD,0.0
GTM,0.0007
GUY,0.0
HND,0.0151
HRV,0.0
HTI,0.0822
HUN,0.0
IDN,0.0009
IND,0.0019
IRL,0.0
IRN,0.0102
IRQ,0.0939
ISL,0.0
ISR,1.0
ITA,0.0
JAM,0.0
JOR,0.0
JPN,0.0
KAZ,0.0
KEN,0.0142
KGZ,0.015
KHM,0.0
KIR,0.0
KNA,0.0
KOR,0.0
KWT,0.0
LAO,0.0
LBN,0.0246
LBR,0.0005
LBY,0.339
LCA,0.0
LIE,0.0
LKA,0.0116
LSO,0.0
LTU,0.0
LUX,0.0
LVA,0.0
MAR,0.0007
MCO,0.0
MDA,0.0
MDG,0.0008
MDV,0.0
MEX,0.5528
MHL,0.0
MKD,0.0
MLI,0.3996
MLT,0.0
MMR,0.1552
MNE,0.0
MNG,0.0
MOZ,0.1468
MRT,0.0012
MUS,0.0
MWI,0.0
MYS,0.0
NAM,0.0
NER,0.1332
NGA,0.0665
NIC,0.0
NLD,0.0
NOR,0.0
NPL,0.0
NRU,0.0
NZL,0.0
OMN,0.0
PAK,0.0119
PAN,0.0
PER,0.0017
PHL,0.0135
PLW,0.0
PNG,0.0159
POL,0.0001
PRK,0.0
PRT,0.0
PRY,0.0007
PSE,0.0
QAT,0.0
ROU,0.0
RUS,0.0023
RWA,0.0024
SAU,0.0006
SDN,0.2197
SEN,0.0
SGP,0.0
SLB,0.0
SLE,0.0001
SLV,0.0142
SMR,0.0
SOM,0.7322
SRB,0.0
SSD,0.2676
STP,0.0
SUR,0.0
SVK,0.0
SVN,0.0
SWE,0.0
SWZ,0.0451
SYC,0.0
SYR,0.9203
TCD,0.0687
TGO,0.0146
THA,0.003
TJK,0.0101
TKM,0.0
TLS,0.0
TON,0.0
TTO,0.0
TUN,0.0046
TUR,0.0098
TUV,0.0
TZA,0.0012
UGA,0.0025
UKR,1.0
URY,0.0
USA,0.0
UZB,0.0
VAT,
VCT,0.0
VEN,0.0053
VNM,0.0
VUT,0.0
WSM,0.0
YEM,0.9191
ZAF,0.0026
ZMB,0.0
ZWE,0.0006
