iso3,basel_fatf_me_effectiveness,basel_tjn_fsi,basel_fatf_listing_flag
AFG,0.847,,0.0
AGO,0.753,0.669,1.0
ALB,0.504,0.118,0.0
AND,0.458,0.287,0.0
ARE,0.496,0.912,0.0
ARG,0.561,0.25,0.0
ARM,0.43,,0.0
ATG,0.62,0.015,0.0
AUS,0.423,0.794,0.0
AUT,0.496,0.75,0.0
AZE,0.549,,0.0
BDI,,,0.0
BEL,0.425,0.787,0.0
BEN,0.797,,0.0
BFA,0.55,,0.0
BGD,0.567,0.64,0.0
BGR,0.679,0.243,1.0
BHR,0.473,0.603,0.0
BHS,0.508,0.772,0.0
BIH,0.635,,0.0
BLR,0.45,,0.0
BLZ,0.369,0.221,0.0
BOL,0.545,0.368,1.0
BRA,0.518,0.426,0.0
BRB,0.558,0.735,0.0
BRN,0.472,0.059,0.0
BTN,0.746,,0.0
BWA,0.558,0.066,0.0
CAF,0.867,,0.0
CAN,0.464,0.875,0.0
CHE,0.4,0.993,0.0
CHL,0.507,0.574,0.0
CHN,0.587,0.919,0.0
CIV,0.737,,1.0
CMR,0.743,0.324,1.0
COD,0.894,,1.0
COG,0.861,,0.0
COL,0.524,0.316,0.0
COM,0.803,,0.0
CPV,0.803,,0.0
CRI,0.56,0.478,0.0
CUB,0.405,,0.0
CYP,0.459,0.882,0.0
CZE,0.492,0.338,0.0
DEU,0.436,0.963,0.0
DJI,0.797,,0.0
DMA,0.554,0.051,0.0
DNK,0.524,0.235,0.0
DOM,0.513,0.463,0.0
DZA,0.708,0.765,1.0
ECU,0.544,0.081,0.0
EGY,0.473,0.706,0.0
ERI,0.93,,0.0
ESP,0.261,0.757,0.0
EST,0.514,0.176,0.0
ETH,0.533,,0.0
FIN,0.458,0.346,0.0
FJI,0.637,0.191,0.0
FRA,0.269,0.853,0.0
FSM,,,0.0
GAB,0.867,,0.0
GBR,0.249,0.86,0.0
GEO,0.544,,0.0
GHA,0.513,0.397,0.0
GIN,0.786,,0.0
GMB,0.816,0.162,0.0
GNB,0.839,,0.0
GNQ,0.85,,0.0
GRC,0.421,0.419,0.0
GRD,0.716,0.147,0.0
GTM,0.455,0.684,0.0
GUY,0.479,,0.0
HND,0.493,,0.0
HRV,0.527,0.228,0.0
HTI,0.847,,1.0
HUN,0.588,0.5,0.0
IDN,0.469,0.647,0.0
IND,0.412,0.831,0.0
IRL,0.427,0.904,0.0
IRN,,,1.0
IRQ,0.556,,0.0
ISL,0.48,0.14,0.0
ISR,0.299,0.824,0.0
ITA,0.349,0.816,0.0
JAM,0.516,,0.0
JOR,0.507,0.596,0.0
JPN,0.484,0.934,0.0
KAZ,0.42,0.743,0.0
KEN,0.723,0.676,1.0
KGZ,0.585,,0.0
KHM,0.552,,0.0
KIR,,,
KNA,0.698,0.404,0.0
KOR,0.438,0.949,0.0
KWT,0.647,0.662,1.0
LAO,0.817,,1.0
LBN,0.588,0.507,1.0
LBR,0.819,0.169,0.0
LBY,,,0.0
LCA,0.717,0.132,0.0
LIE,0.432,0.581,0.0
LKA,0.541,0.566,0.0
LSO,0.79,,0.0
LTU,0.521,0.551,0.0
LUX,0.38,0.971,0.0
LVA,0.556,0.279,0.0
MAR,0.524,0.544,0.0
MCO,0.599,0.096,1.0
MDA,0.507,,0.0
MDG,0.799,,0.0
MDV,0.78,0.037,0.0
MEX,0.527,0.441,0.0
MHL,0.594,0.537,0.0
MKD,0.552,0.088,0.0
MLI,0.589,,0.0
MLT,0.482,0.691,0.0
MMR,0.777,,1.0
MNE,0.565,0.206,0.0
MNG,0.531,,0.0
MOZ,0.625,,0.0
MRT,0.753,,0.0
MUS,0.483,0.632,0.0
MWI,0.6,,0.0
MYS,0.425,0.779,0.0
NAM,0.648,0.272,1.0
NER,0.777,,0.0
NGA,0.531,0.699,0.0
NIC,0.527,,0.0
NLD,0.349,0.956,0.0
NOR,0.41,0.625,0.0
NPL,0.719,,1.0
NRU,0.586,0.044,0.0
NZL,0.386,0.618,0.0
OMN,0.414,0.36,0.0
PAK,0.536,0.493,0.0
PAN,0.479,0.897,0.0
PER,0.485,0.294,0.0
PHL,0.521,0.529,0.0
PLW,0.643,,0.0
PNG,0.715,,1.0
POL,0.546,0.485,0.0
PRK,,,1.0
PRT,0.418,0.412,0.0
PRY,0.513,0.103,0.0
PSE,,,
QAT,0.406,0.721,0.0
ROU,0.558,0.449,0.0
RUS,0.386,0.801,0.0
RWA,0.805,0.154,0.0
SAU,0.494,0.846,0.0
SDN,0.646,,0.0
SEN,0.536,,0.0
SGP,0.448,0.985,0.0
SLB,0.814,,0.0
SLE,0.785,,0.0
SLV,0.564,0.375,0.0
SMR,0.395,0.074,0.0
SOM,,,0.0
SRB,0.542,0.434,0.0
SSD,,,1.0
STP,0.844,,0.0
SUR,0.814,,0.0
SVK,0.575,0.265,0.0
SVN,0.505,0.022,0.0
SWE,0.404,0.522,0.0
SWZ,0.861,,0.0
SYC,0.738,0.382,0.0
SYR,0.596,,1.0
TCD,0.864,,0.0
TGO,0.831,,0.0
THA,0.546,0.728,0.0
TJK,0.527,,0.0
TKM,0.512,,0.0
TLS,0.737,,0.0
TON,0.88,,0.0
TTO,0.497,0.029,0.0
TUN,0.539,0.213,0.0
TUR,0.479,0.588,0.0
TUV,,,
TZA,0.603,0.39,0.0
UGA,0.567,,0.0
UKR,0.521,0.456,0.0
URY,0.51,0.559,0.0
USA,0.339,1.0,0.0
UZB,0.429,,0.0
VAT,,,
VCT,0.544,0.11,0.0
VEN,0.852,0.471,1.0
VNM,0.726,0.713,1.0
VUT,0.731,0.125,0.0
WSM,0.655,0.301,0.0
YEM,0.652,,1.0
ZAF,0.547,0.654,0.0
ZMB,0.59,,0.0
ZWE,0.508,,0.0
