iso3,esd_d1_hazardous_sector_share,esd_d2_informal_employment_share
AFG,0.8605,0.8614
AGO,0.8658,0.9449
ALB,0.5129,
AND,,
ARE,0.024,
ARG,0.1167,0.5282
ARM,0.4495,0.7614
ATG,,0.1276
AUS,0.0363,
AUT,0.0461,0.0338
AZE,0.5704,
BDI,1.0,0.9804
BEL,0.0164,0.0327
BEN,0.6707,0.9635
BFA,0.8629,0.9509
BGD,0.7377,0.8404
BGR,0.0782,0.0415
BHR,0.0139,
BHS,0.0129,0.1825
BIH,0.2785,0.1657
BLR,0.158,
BLZ,0.2689,
BOL,0.4119,0.8387
BRA,0.1271,0.3562
BRB,0.0208,0.6178
BRN,0.02,0.2139
BTN,0.7062,
BWA,0.3005,0.7558
CAF,1.0,
CAN,0.0184,
CHE,0.0374,0.0109
CHL,0.1011,0.2637
CHN,0.3613,
CIV,0.7561,0.9213
CMR,0.6976,0.871
COD,0.9754,0.9734
COG,0.6059,0.8528
COL,0.236,0.5601
COM,0.5593,0.8881
CPV,0.1541,0.6059
CRI,0.1915,0.3611
CUB,0.2588,
CYP,0.0359,0.0265
CZE,0.0451,0.038
DEU,0.0179,0.0395
DJI,0.0192,0.4762
DMA,,
DNK,0.027,0.0707
DOM,0.1168,0.535
DZA,0.1581,
ECU,0.5414,0.6845
EGY,0.2921,0.6861
ERI,0.9246,
ESP,0.0562,0.0385
EST,0.0493,0.0598
ETH,1.0,0.7765
FIN,0.0582,0.02
FJI,0.594,0.457
FRA,0.0389,0.0378
FSM,,
GAB,0.4811,0.8605
GBR,0.0142,0.1981
GEO,0.5659,0.5146
GHA,0.5762,0.7805
GIN,0.7893,
GMB,0.4592,0.8406
GNB,1.0,0.9477
GNQ,0.9221,
GRC,0.178,0.0433
GRD,,0.4805
GTM,0.4842,0.7593
GUY,0.2036,0.5125
HND,0.3737,0.8261
HRV,0.0721,0.0531
HTI,0.7769,0.9161
HUN,0.0686,0.0986
IDN,0.4549,0.8097
IND,0.6938,0.872
IRL,0.0642,0.0389
IRN,0.2271,
IRQ,0.1361,0.6764
ISL,0.0601,0.0198
ISR,0.0127,
ITA,0.0558,0.1094
JAM,0.2323,0.5464
JOR,0.0519,0.5422
JPN,0.0469,
KAZ,0.1887,
KEN,0.7631,0.8649
KGZ,0.2574,0.5755
KHM,0.5567,0.8939
KIR,,0.6152
KNA,,
KOR,0.0851,0.2912
KWT,0.0315,
LAO,1.0,0.9049
LBN,0.0586,0.5545
LBR,0.6853,0.8935
LBY,0.1666,
LCA,0.1246,0.2921
LIE,,
LKA,0.4309,0.6635
LSO,0.5146,0.8913
LTU,0.0777,0.0562
LUX,0.0146,0.0597
LVA,0.1111,0.0965
MAR,0.4649,
MCO,,
MDA,0.8417,0.5537
MDG,1.0,0.9608
MDV,0.1884,0.4733
MEX,0.19,0.5688
MHL,,0.3258
MKD,0.1417,0.1196
MLI,1.0,0.9277
MLT,0.0146,
MMR,0.7492,0.8071
MNE,0.0699,
MNG,0.4501,0.2745
MOZ,1.0,0.9551
MRT,0.5354,0.8931
MUS,0.0785,0.2345
MWI,1.0,0.9265
MYS,0.153,
NAM,0.3723,0.5564
NER,1.0,0.9849
NGA,0.5589,0.9315
NIC,0.5079,0.8179
NLD,0.0284,0.0542
NOR,0.0417,0.0203
NPL,0.3819,0.8152
NRU,,0.9392
NZL,0.0903,
OMN,0.0991,
PAK,0.6038,0.8869
PAN,0.2673,0.5573
PER,0.3856,0.7046
PHL,0.3415,
PLW,,0.0726
PNG,0.6144,
POL,0.1037,0.1455
PRK,0.9013,
PRT,0.0463,0.0532
PRY,0.2661,0.6446
PSE,0.1057,0.488
QAT,0.027,
ROU,0.1824,0.0243
RUS,0.0851,0.1923
RWA,0.5842,0.9006
SAU,0.0416,
SDN,0.6629,0.9419
SEN,0.4929,0.8921
SGP,0.0016,
SLB,0.7078,
SLE,0.7416,0.9447
SLV,0.2309,0.6395
SMR,,
SOM,0.5005,0.8194
SRB,0.3005,0.1714
SSD,1.0,
STP,0.201,
SUR,0.1163,0.5094
SVK,0.0361,0.0634
SVN,0.061,0.0482
SWE,0.0294,0.0374
SWZ,0.2424,0.533
SYC,,0.1422
SYR,0.2716,
TCD,1.0,0.9757
TGO,0.6265,0.9234
THA,0.4759,0.6317
TJK,0.7212,0.6363
TKM,0.3656,
TLS,0.767,0.8057
TON,0.3935,0.5921
TTO,0.0749,
TUN,0.2076,0.369
TUR,0.237,0.2771
TUV,,0.2009
TZA,1.0,0.9078
UGA,1.0,0.9448
UKR,0.2353,
URY,0.1345,0.2854
USA,0.0254,
UZB,0.42,
VAT,,
VCT,0.1512,
VEN,0.1479,0.5831
VNM,0.4174,0.6703
VUT,0.7421,0.7084
WSM,0.448,0.5151
YEM,0.5269,0.7738
ZAF,0.0901,0.3481
ZMB,0.9088,0.8273
ZWE,0.9052,0.85
