iso3,epr_excluded_pop_share
AFG,0.938
AGO,0.868
ALB,0.14
AND,
ARE,0.0
ARG,0.021
ARM,0.0182
ATG,
AUS,0.028
AUT,0.0042
AZE,0.0592
BDI,0.0
BEL,0.014
BEN,0.0
BFA,0.0
BGD,0.224
BGR,0.214
BHR,0.7
BHS,0.0
BIH,0.02
BLR,0.062
BLZ,0.2436
BOL,0.042
BRA,0.0056
BRB,0.0
BRN,0.48
BTN,0.96
BWA,0.1232
CAF,0.1512
CAN,0.0686
CHE,0.0
CHL,0.1792
CHN,0.1318
CIV,0.154
CMR,0.0
COD,0.7022
COG,0.532
COL,0.056
COM,0.693
CPV,0.0
CRI,0.1428
CUB,0.0
CYP,0.18
CZE,0.0
DEU,0.0
DJI,0.0
DMA,
DNK,0.0
DOM,0.046
DZA,0.392
ECU,0.266
EGY,0.126
ERI,0.22
ESP,0.4228
EST,0.406
ETH,0.179
FIN,0.0
FJI,0.0
FRA,0.0232
FSM,
GAB,0.0
GBR,0.2576
GEO,0.2
GHA,0.0
GIN,0.56
GMB,0.0
GNB,0.0
GNQ,0.23
GRC,0.074
GRD,
GTM,0.6146
GUY,0.147
HND,0.1218
HRV,0.0865
HTI,0.0
HUN,0.084
IDN,0.0969
IND,0.2488
IRL,0.0
IRN,0.3294
IRQ,0.0294
ISL,0.0
ISR,0.86
ITA,0.0552
JAM,0.0
JOR,0.784
JPN,0.0171
KAZ,0.3864
KEN,0.322
KGZ,0.3836
KHM,0.0664
KIR,
KNA,
KOR,0.0
KWT,0.214
LAO,0.188
LBN,0.242
LBR,0.0938
LBY,0.2184
LCA,
LIE,
LKA,0.402
LSO,0.0
LTU,0.0812
LUX,0.0
LVA,0.4158
MAR,0.5808
MCO,
MDA,0.2408
MDG,0.0
MDV,0.0
MEX,0.2786
MHL,
MKD,0.126
MLI,0.0
MLT,0.0
MMR,0.4472
MNE,0.034
MNG,0.056
MOZ,0.1372
MRT,0.42
MUS,0.574
MWI,0.0
MYS,0.0742
NAM,0.1302
NER,0.007
NGA,0.182
NIC,0.1778
NLD,0.07
NOR,0.0
NPL,0.7
NRU,
NZL,0.1288
OMN,0.0
PAK,0.432
PAN,0.399
PER,0.4074
PHL,0.1764
PLW,
PNG,0.0476
POL,0.035
PRK,0.0
PRT,0.0
PRY,0.04
PSE,
QAT,0.0
ROU,0.0434
RUS,0.2513
RWA,1.0
SAU,0.34
SDN,1.0
SEN,0.0
SGP,0.0
SLB,0.0
SLE,0.0
SLV,0.14
SMR,
SOM,0.0
SRB,0.1256
SSD,0.472
STP,
SUR,0.266
SVK,0.1414
SVN,0.0074
SWE,0.0
SWZ,0.0
SYC,
SYR,1.0
TCD,0.756
TGO,0.616
THA,0.121
TJK,0.2198
TKM,0.14
TLS,0.0
TON,
TTO,0.0
TUN,0.0
TUR,0.4932
TUV,
TZA,0.0434
UGA,0.37
UKR,0.1651
URY,0.1092
USA,0.007
UZB,0.14
VAT,
VCT,
VEN,0.2128
VNM,0.1484
VUT,
WSM,
YEM,0.886
ZAF,0.0003
ZMB,0.0
ZWE,0.02
