iso3,findex_account_exclusion,findex_informal_borrowing,findex_borrow_prevalence
AFG,0.9035,0.6028,0.6797
AGO,0.7068,0.2001,0.3084
ALB,0.5393,0.2499,0.4696
AND,,,
ARE,0.1426,0.2303,0.4351
ARG,0.1826,0.2507,0.5614
ARM,0.2863,0.2661,0.5695
ATG,,,
AUS,0.0199,,
AUT,0.0049,,
AZE,0.437,0.3595,0.6266
BDI,0.9289,0.4593,0.6041
BEL,0.0176,,
BEN,0.4816,0.5651,0.7295
BFA,0.4857,0.4579,0.6846
BGD,0.5672,0.2935,0.7026
BGR,0.1528,0.1772,0.3496
BHR,0.1768,,
BHS,,,
BIH,0.2254,0.1167,0.2489
BLR,0.1884,0.347,0.4864
BLZ,0.3203,0.2833,0.5376
BOL,0.4315,0.2677,0.4809
BRA,0.1362,0.1582,0.6361
BRB,,,
BRN,,,
BTN,0.6633,0.1017,0.1838
BWA,0.3856,0.4707,0.5899
CAF,0.8625,0.3027,0.3666
CAN,0.016,,
CHE,0.0159,,
CHL,0.1493,,
CHN,0.1062,0.2707,0.5396
CIV,0.4243,0.5166,0.6696
CMR,0.3913,0.5973,0.6923
COD,0.6079,0.5578,0.707
COG,0.4442,0.4271,0.6467
COL,0.4294,0.2071,0.4631
COM,0.5454,0.414,0.6815
CPV,,,
CRI,0.2865,0.1734,0.3772
CUB,,,
CYP,0.0387,,
CZE,0.0772,,
DEU,0.017,,
DJI,0.8773,,
DMA,,,
DNK,0.0135,,
DOM,0.3522,0.3427,0.6378
DZA,0.6471,0.2723,0.3414
ECU,0.3549,0.1925,0.4795
EGY,0.5689,0.4127,0.5609
ERI,,,
ESP,0.0162,,
EST,0.011,,
ETH,0.5117,0.4514,0.5367
FIN,0.0016,,
FJI,,,
FRA,0.0081,,
FSM,,,
GAB,0.3182,0.4542,0.5921
GBR,0.0072,,
GEO,0.2118,0.2859,0.585
GHA,0.1876,0.5969,0.7424
GIN,0.6395,0.5636,0.7556
GMB,0.6184,0.4295,0.5755
GNB,,,
GNQ,,,
GRC,0.1145,,
GRD,,,
GTM,0.6172,0.1816,0.4125
GUY,,,
HND,0.5756,0.2031,0.4941
HRV,0.0736,0.1525,0.5272
HTI,0.6738,0.2984,0.3969
HUN,0.1304,,
IDN,0.4367,0.3706,0.4764
IND,0.1098,0.3854,0.6334
IRL,0.0171,,
IRN,0.0894,0.4935,0.6713
IRQ,0.6984,0.6064,0.7297
ISL,0.0015,,
ISR,0.1073,,
ITA,0.1398,,
JAM,0.267,0.2571,0.3182
JOR,0.5354,0.4017,0.6522
JPN,0.0148,,
KAZ,0.1295,0.4582,0.6283
KEN,0.0988,0.6611,0.8188
KGZ,0.2774,0.4936,0.6289
KHM,0.6097,0.3747,0.6554
KIR,,,
KNA,,,
KOR,0.0311,,
KWT,0.2554,,
LAO,0.6235,0.2681,0.4634
LBN,0.7696,0.3241,0.5555
LBR,0.4779,0.6918,0.7751
LBY,0.6688,0.3157,0.4171
LCA,,,
LIE,,,
LKA,0.1831,0.3038,0.6004
LSO,0.3843,0.4897,0.6435
LTU,0.0101,,
LUX,0.0123,0.0802,0.7933
LVA,0.0503,,
MAR,0.5561,0.3218,0.5762
MCO,,,
MDA,0.4446,0.275,0.4655
MDG,0.7555,0.402,0.7085
MDV,0.2045,0.1664,0.3274
MEX,0.4697,0.2185,0.4153
MHL,,,
MKD,0.1575,0.2187,0.4566
MLI,0.4525,0.5798,0.7425
MLT,0.0344,,
MMR,0.5221,0.2431,0.3309
MNE,0.2459,0.1559,0.3424
MNG,0.0172,0.2937,0.6834
MOZ,0.4561,0.5551,0.6609
MRT,0.7269,0.6267,0.8093
MUS,0.104,0.2227,0.4121
MWI,0.4963,0.6559,0.7652
MYS,0.1131,0.2137,0.3867
NAM,0.2708,0.5856,0.724
NER,0.8517,0.5657,0.7748
NGA,0.3674,0.6532,0.7894
NIC,0.7653,0.21,0.4347
NLD,0.0083,,
NOR,0.0144,,
NPL,0.4001,0.4779,0.704
NRU,,,
NZL,0.0214,,
OMN,0.3046,0.3082,0.3624
PAK,0.727,0.5915,0.6948
PAN,0.359,0.2797,0.473
PER,0.4069,0.2272,0.4734
PHL,0.4982,0.4836,0.7197
PLW,,,
PNG,,,
POL,0.1386,0.1311,0.3128
PRK,,,
PRT,0.086,,
PRY,0.3908,0.2415,0.5481
PSE,0.6038,0.3348,0.5058
QAT,0.3412,,
ROU,0.2866,0.24,0.4552
RUS,0.2066,,
RWA,0.4998,0.7766,0.6574
SAU,0.2116,0.3428,0.5569
SDN,0.8473,0.38,0.455
SEN,0.2354,0.7532,0.8186
SGP,0.0203,,
SLB,,,
SLE,0.6138,0.8954,0.8867
SLV,0.566,0.1598,0.3788
SMR,,,
SOM,0.6134,0.4066,0.5698
SRB,0.1675,0.2078,0.4424
SSD,0.9417,0.3458,0.3692
STP,,,
SUR,,,
SVK,0.0778,,
SVN,0.0125,,
SWE,0.0143,,
SWZ,0.3488,0.554,0.7066
SYC,,,
SYR,0.7675,,
TCD,0.791,0.6198,0.7769
TGO,0.4257,0.5774,0.7825
THA,0.0818,0.3082,0.4909
TJK,0.4548,0.2016,0.5255
TKM,0.5942,0.217,0.3694
TLS,,,
TON,,,
TTO,0.2541,,
TUN,0.6216,0.3095,0.4351
TUR,0.1845,0.3499,0.6469
TUV,,,
TZA,0.4017,0.4209,0.5703
UGA,0.2717,0.9876,0.9021
UKR,0.1242,0.2795,0.513
URY,0.2625,,
USA,0.0298,,
UZB,0.4034,0.1758,0.3947
VAT,,,
VCT,,,
VEN,0.1268,0.3409,0.6207
VNM,0.2945,0.3691,0.432
VUT,,,
WSM,,,
YEM,0.881,0.4167,0.5128
ZAF,0.1887,0.4502,0.5707
ZMB,0.273,0.5624,0.7015
ZWE,0.5048,0.4748,0.6079
