iso3,gs_lfp_gender_gap,gs_gender_inequality_index,gs_mobility_constraint,gs_sex_sector_channel_share
AFG,1.0,0.661,0.75,1.0
AGO,0.1049,0.515,0.0,0.789
ALB,0.233,0.107,0.0,0.7821
AND,,,,
ARE,0.7705,0.04,0.625,0.5443
ARG,0.3839,0.264,0.0,0.4092
ARM,0.3693,0.18,0.0,0.7061
ATG,,0.24,0.25,0.3402
AUS,0.1634,0.056,0.0,0.3725
AUT,0.2072,0.033,0.0,0.5188
AZE,0.1052,0.315,0.0,0.7328
BDI,0.0,0.501,0.25,1.0
BEL,0.1834,0.031,0.0,0.3964
BEN,0.0479,0.573,0.25,0.9374
BFA,0.2412,0.555,0.25,0.7182
BGD,0.8351,0.487,0.125,1.0
BGR,0.2397,0.208,0.0,0.5172
BHR,0.8715,0.165,0.75,0.6042
BHS,0.1294,0.325,0.25,0.3535
BIH,0.4147,0.157,0.0,0.6765
BLR,0.2618,0.08,0.0,0.6963
BLZ,0.5034,0.428,0.0,0.6025
BOL,0.2314,0.419,0.0,0.6932
BRA,0.3992,0.39,0.0,0.5195
BRB,0.1543,0.297,0.25,0.3757
BRN,0.3673,0.257,0.75,0.3708
BTN,0.3017,0.278,0.25,0.7746
BWA,0.2054,0.49,0.0,0.6278
CAF,0.3458,,0.375,
CAN,0.1747,0.052,0.0,0.3748
CHE,0.1831,0.01,0.0,0.4208
CHL,0.3808,0.102,0.0,0.4523
CHN,0.2141,0.132,0.0,1.0
CIV,0.299,0.589,0.0,0.9288
CMR,0.3469,0.558,0.5,0.7934
COD,0.1,0.604,0.0,0.9662
COG,0.0905,0.565,0.375,0.3439
COL,0.4814,0.393,0.0,0.5967
COM,0.3247,0.501,0.375,0.6606
CPV,0.2585,0.298,0.0,0.6075
CRI,0.4749,0.217,0.0,0.5159
CUB,0.502,0.296,,0.6109
CYP,0.2292,0.252,0.0,0.3902
CZE,0.2812,0.088,0.0,0.6525
DEU,0.2153,0.057,0.0,0.5221
DJI,0.5038,0.481,0.0,0.257
DMA,,,0.0,0.752
DNK,0.1677,0.003,0.0,0.3967
