iso3,ILR_TUMT_NOC_RT_A,ILR_CBCT_NOC_RT_A,LAI_INDE_NOC_RT_A,SDG_F881_SEX_MIG_RT_A
AFG,0.8323,,,
AGO,,,,
ALB,0.6315,0.489,,
AND,,,,
ARE,,,,
ARG,0.723,0.506,0.9167,0.1507
ARM,0.7945,0.806,0.6333,0.2095
ATG,,,,
AUS,0.8634,0.388,0.67,0.0708
AUT,0.7376,0.02,0.7567,0.0901
AZE,,,0.85,0.2
BDI,0.9439,,,0.692
BEL,0.5092,0.04,0.8133,0.006
BEN,,,,
BFA,0.9019,,0.8967,0.22
BGD,0.881,0.984,,
BGR,0.863,0.892,0.53,0.1754
BHR,,,0.9133,0.0295
BHS,,,,
BIH,0.7,0.5,,
BLR,,,0.8633,0.1129
BLZ,0.9256,0.909,0.54,0.2594
BOL,0.8796,,,
BRA,0.8697,0.352,0.8967,0.3716
BRB,,,0.5333,0.0375
BRN,,,,
BTN,,,0.8267,
BWA,0.7004,0.655,,
CAF,0.7807,,,
CAN,0.7061,0.687,0.9633,0.2599
CHE,0.8557,0.523,0.57,0.0565
CHL,0.8291,0.79,0.6967,0.1529
CHN,0.5575,0.55,,
CIV,0.8938,,,
CMR,0.9498,0.835,,
COD,0.8644,,,
COG,,,,
COL,0.9535,0.843,0.83,0.323
COM,0.8665,,,
CPV,0.791,,,
CRI,0.7946,0.882,0.8067,0.486
CUB,0.1859,0.232,0.7467,1.0
CYP,0.5672,0.567,0.9033,0.162
CZE,0.8862,0.679,0.69,0.082
DEU,0.8375,0.482,0.5267,0.0355
DJI,,,,
DMA,,,,
DNK,0.3302,0.197,,0.0515
DOM,0.9251,0.92,0.87,0.8965
DZA,,,,0.8795
ECU,,,0.9433,0.05
EGY,0.762,0.965,,0.145
ERI,,,,
ESP,0.8755,0.199,0.6433,0.0856
EST,0.9398,0.85,0.78,0.07
ETH,0.9065,0.99,,
FIN,0.4117,0.108,0.58,0.0514
FJI,0.8682,,,
FRA,0.9111,0.02,0.7333,0.41
FSM,,,,
GAB,,,,
GBR,0.7664,0.731,0.8633,0.039
GEO,0.8212,0.856,0.8233,0.1175
GHA,0.8316,0.616,,
GIN,,,,
GMB,0.8611,,,
GNB,,,,
GNQ,,,,
GRC,0.8103,0.742,,0.0455
GRD,,,,
GTM,0.9685,,0.9267,0.007
GUY,0.8599,,,
HND,0.9743,0.981,,
HRV,0.7924,0.533,0.6333,0.129
HTI,0.9828,,,
HUN,0.9135,0.822,0.81,0.08
IDN,0.8701,0.9,,
IND,0.802,,,1.0
IRL,0.746,0.665,0.9233,0.072
IRN,,,,
IRQ,,,,
ISL,0.0858,0.1,0.6833,0.069
ISR,0.7491,0.72,0.8267,0.0812
ITA,0.675,0.01,,0.1005
JAM,,,,
JOR,,,0.77,0.6575
JPN,0.832,0.832,0.8467,0.066
KAZ,0.5308,0.253,,0.215
KEN,0.903,0.903,,
KGZ,,,,0.205
KHM,0.9037,0.987,,
KIR,,,,
KNA,,,,
KOR,0.8763,0.844,0.75,0.1965
KWT,,,,
LAO,0.845,,,
LBN,,,,
LBR,0.7992,,,
LBY,,,,
LCA,0.9816,,,
LIE,,,,
