iso3,lnr_birth_registration_incompleteness,lnr_statelessness_prevalence,lnr_domain_raw,lnr_domain_low_confidence
AFG,0.577,0.0,0.2885,0
AGO,0.75,0.0,0.375,0
ALB,0.016,0.0173,0.0166,0
AND,0.0,,0.0,1
ARE,0.0,0.0,0.0,0
ARG,0.003,0.0,0.0015,0
ARM,0.007,0.0018,0.0044,0
ATG,,0.0,0.0,1
AUS,0.0,0.0055,0.0027,0
AUT,0.0,0.0089,0.0044,0
AZE,0.064,0.0005,0.0323,0
BDI,0.165,0.001,0.083,0
BEL,0.0,0.0014,0.0007,0
BEN,0.144,0.0,0.072,0
BFA,0.231,0.0,0.1155,0
BGD,0.44,0.1317,0.2858,0
BGR,0.0,0.0026,0.0013,0
BHR,0.0,0.0,0.0,0
BHS,,0.0,0.0,1
BIH,0.005,0.0001,0.0026,0
BLR,0.0,0.0122,0.0061,0
BLZ,0.043,0.0,0.0215,0
BOL,0.081,0.0,0.0405,0
BRA,0.036,0.0,0.018,0
BRB,0.013,0.0,0.0065,0
BRN,0.001,0.9018,0.4514,0
BTN,0.001,,0.001,1
BWA,0.125,0.0,0.0625,0
CAF,0.552,0.0,0.276,0
CAN,0.0,0.0042,0.0021,0
CHE,0.0,0.0029,0.0014,0
CHL,0.006,0.0017,0.0038,0
CHN,,0.0,0.0,1
CIV,0.283,0.583,0.433,0
CMR,0.381,0.0,0.1905,0
COD,0.599,0.0,0.2995,0
COG,0.041,0.0,0.0205,0
COL,0.032,0.0,0.016,0
COM,0.127,0.0,0.0635,0
CPV,0.086,0.0044,0.0452,0
CRI,0.004,0.0015,0.0028,0
CUB,0.002,0.0,0.001,0
CYP,0.0,0.0018,0.0009,0
CZE,0.0,0.0011,0.0006,0
DEU,0.0,0.0067,0.0034,0
DJI,0.083,0.0,0.0415,0
DMA,,0.0,0.0,1
DNK,0.0,0.0285,0.0143,0
DOM,0.078,0.0,0.039,0
DZA,0.004,0.0,0.002,0
ECU,0.128,0.0,0.064,0
EGY,0.006,0.0,0.003,0
ERI,,0.0,0.0,1
ESP,0.0,0.0044,0.0022,0
EST,0.0,0.9179,0.459,0
ETH,0.973,0.0,0.4865,0
FIN,0.0,0.0048,0.0024,0
FJI,0.134,0.0,0.067,0
FRA,0.0,0.0008,0.0004,0
FSM,,0.0,0.0,1
GAB,0.104,0.0,0.052,0
GBR,0.0,0.0015,0.0008,0
GEO,0.015,0.0026,0.0088,0
GHA,0.294,0.0,0.147,0
GIN,0.38,0.0,0.19,0
GMB,0.41,0.0,0.205,0
GNB,0.54,0.0,0.27,0
GNQ,0.465,0.0,0.2325,0
GRC,0.0,0.0072,0.0036,0
GRD,,0.0,0.0,1
GTM,0.036,0.0,0.018,0
GUY,0.019,0.0,0.0095,0
HND,0.03,0.0,0.015,0
HRV,0.0,0.0039,0.0019,0
HTI,0.152,0.0,0.076,0
HUN,0.0,0.0002,0.0001,0
IDN,0.23,0.0002,0.1151,0
IND,0.109,0.0003,0.0547,0
IRL,0.0,0.0002,0.0001,0
IRN,0.014,0.0,0.007,0
IRQ,0.012,0.0001,0.0061,0
ISL,0.0,0.0017,0.0008,0
ISR,0.0,0.0001,0.0001,0
ITA,0.0,0.001,0.0005,0
JAM,0.02,0.0,0.01,0
JOR,0.02,0.0,0.01,0
JPN,0.0,0.0001,0.0001,0
KAZ,0.003,0.0072,0.0051,0
KEN,0.331,0.0035,0.1672,0
KGZ,0.011,0.0026,0.0068,0
KHM,0.267,0.085,0.176,0
KIR,0.084,,0.084,1
KNA,,0.0,0.0,1
KOR,,0.0001,0.0001,1
KWT,,0.3757,0.3757,1
LAO,0.27,,0.27,1
LBN,0.011,0.1378,0.0744,0
LBR,0.337,0.0,0.1685,0
LBY,,0.0,0.0,1
LCA,0.08,0.0,0.04,0
LIE,0.0,0.0,0.0,0
LKA,0.028,0.0002,0.0141,0
LSO,0.555,0.0,0.2775,0
LTU,0.0,0.0152,0.0076,0
LUX,0.0,0.0025,0.0013,0
LVA,0.0,1.0,0.5,0
MAR,0.031,0.0,0.0155,0
MCO,0.0,0.0,0.0,0
MDA,0.004,0.0392,0.0216,0
MDG,0.262,0.0,0.131,0
MDV,0.012,,0.012,1
MEX,0.03,0.0,0.015,0
MHL,0.162,,0.162,1
MKD,0.002,0.0018,0.0019,0
MLI,0.133,0.0,0.0665,0
MLT,0.0,0.006,0.003,0
MMR,0.187,0.202,0.1945,0
MNE,0.006,0.0125,0.0092,0
MNG,0.004,0.0001,0.0021,0
MOZ,0.45,0.0,0.225,0
MRT,0.552,0.0,0.276,0
MUS,,0.0,0.0,1
MWI,0.328,0.0,0.164,0
MYS,,0.0721,0.0721,1
NAM,0.219,0.0977,0.1584,0
NER,0.361,0.0,0.1805,0
NGA,0.574,0.0,0.287,0
NIC,0.153,0.0,0.0765,0
NLD,0.0,0.004,0.002,0
NOR,0.0,0.0058,0.0029,0
NPL,0.228,0.0003,0.1141,0
NRU,0.041,0.0,0.0205,0
