iso3,monet_b_shadow_economy,monet_b_financial_exclusion
AFG,,0.9035
AGO,0.7711,0.7068
ALB,0.508,0.5393
AND,,
ARE,0.3365,0.1426
ARG,0.3131,0.1826
ARM,0.6184,0.2863
ATG,,
AUS,0.109,0.0199
AUT,0.0273,0.0049
AZE,0.7394,0.437
BDI,0.6779,0.9289
BEL,0.291,0.0176
BEN,0.8196,0.4816
BFA,0.5449,0.4857
BGD,0.422,0.5672
BGR,0.4704,0.1528
BHR,0.1547,0.1768
BHS,0.3751,
BIH,0.4857,0.2254
BLR,0.6849,0.1884
BLZ,0.7714,0.3203
BOL,1.0,0.4315
BRA,0.6042,0.1362
BRB,0.3778,
BRN,0.4871,
BTN,0.3531,0.6633
BWA,0.4207,0.3856
CAF,0.8752,0.8625
CAN,0.1403,0.016
CHE,0.0,0.0159
CHL,0.1758,0.1493
CHN,0.0004,0.1062
CIV,0.7061,0.4243
CMR,0.4775,0.3913
COD,0.8121,0.6079
COG,0.7239,0.4442
COL,0.4918,0.4294
COM,0.7879,0.5454
CPV,0.5001,
CRI,0.2977,0.2865
CUB,,
CYP,0.4087,0.0387
CZE,0.2062,0.0772
DEU,0.1625,0.017
DJI,,0.8773
DMA,,
DNK,0.1927,0.0135
DOM,0.4288,0.3522
DZA,0.4683,0.6471
ECU,0.4603,0.3549
EGY,0.5078,0.5689
ERI,,
ESP,0.2995,0.0162
EST,0.4387,0.011
ETH,0.3512,0.5117
FIN,0.1864,0.0016
FJI,0.5186,
FRA,0.1419,0.0081
FSM,,
GAB,0.9042,0.3182
GBR,0.0878,0.0072
GEO,1.0,0.2118
GHA,0.6559,0.1876
GIN,0.5322,0.6395
GMB,0.7622,0.6184
GNB,0.8455,
GNQ,0.401,
GRC,0.4286,0.1145
GRD,,
GTM,0.9069,0.6172
GUY,,
HND,0.8407,0.5756
HRV,0.4863,0.0736
HTI,,0.6738
HUN,0.3443,0.1304
IDN,0.1638,0.4367
IND,0.1891,0.1098
IRL,0.1228,0.0171
IRN,0.1947,0.0894
IRQ,,0.6984
ISL,0.1586,0.0015
ISR,0.2666,0.1073
ITA,0.4317,0.1398
JAM,0.58,0.267
JOR,0.1675,0.5354
JPN,0.0525,0.0148
KAZ,0.6541,0.1295
KEN,0.4268,0.0988
KGZ,0.5996,0.2774
KHM,0.6426,0.6097
KIR,,
KNA,,
KOR,0.3457,0.0311
KWT,0.1522,0.2554
LAO,0.2856,0.6235
LBN,0.5089,0.7696
LBR,0.7595,0.4779
LBY,,0.6688
LCA,0.6677,
LIE,,
LKA,0.5924,0.1831
LSO,0.4073,0.3843
LTU,0.4579,0.0101
LUX,0.0271,0.0123
LVA,0.4193,0.0503
MAR,0.4723,0.5561
MCO,,
MDA,0.8282,0.4446
MDG,0.6605,0.7555
MDV,0.3507,0.2045
MEX,0.4571,0.4697
MHL,,
MKD,0.5879,0.1575
MLI,0.5644,0.4525
MLT,0.3935,0.0344
MMR,0.3354,0.5221
MNE,,0.2459
MNG,0.1764,0.0172
MOZ,0.426,0.4561
MRT,0.5361,0.7269
MUS,0.2699,0.104
MWI,0.7502,0.4963
MYS,0.4473,0.1131
NAM,0.3966,0.2708
NER,0.6586,0.8517
NGA,1.0,0.3674
NIC,0.7687,0.7653
NLD,0.1066,0.0083
NOR,0.2018,0.0144
NPL,0.5535,0.4001
NRU,,
NZL,0.0768,0.0214
OMN,0.1783,0.3046
PAK,0.5625,0.727
PAN,0.8573,0.359
PER,0.8241,0.4069
PHL,0.5703,0.4982
PLW,,
PNG,,
POL,0.3539,0.1386
PRK,,
PRT,0.3401,0.086
PRY,0.6111,0.3908
PSE,,0.6038
QAT,0.1377,0.3412
ROU,0.4229,0.2866
RUS,0.7403,0.2066
RWA,0.4421,0.4998
SAU,0.1593,0.2116
SDN,0.4758,0.8473
SEN,0.6786,0.2354
SGP,0.066,0.0203
SLB,,
SLE,0.7058,0.6138
SLV,0.7789,0.566
SMR,,
SOM,,0.6134
SRB,,0.1675
SSD,,0.9417
STP,,
SUR,0.5942,
SVK,0.1878,0.0778
SVN,0.3829,0.0125
SWE,0.2178,0.0143
SWZ,0.7537,0.3488
SYC,,
SYR,0.2209,0.7675
TCD,0.676,0.791
TGO,0.5558,0.4257
THA,0.8817,0.0818
TJK,0.8334,0.4548
TKM,,0.5942
TLS,,
TON,,
TTO,0.4093,0.2541
TUN,0.5882,0.6216
TUR,0.3849,0.1845
TUV,,
TZA,0.7794,0.4017
UGA,0.5807,0.2717
UKR,0.9051,0.1242
URY,0.777,0.2625
USA,0.0,0.0298
UZB,,0.4034
VAT,,
VCT,0.8615,
VEN,0.5341,0.1268
VNM,0.0623,0.2945
VUT,,
WSM,,
YEM,0.4016,0.881
ZAF,0.3512,0.1887
ZMB,0.7534,0.273
ZWE,1.0,0.5048
