iso3,ndgain_climate_vulnerability
AFG,0.5875
AGO,0.5064
ALB,0.3802
AND,
ARE,0.3829
ARG,0.3834
ARM,0.3573
ATG,0.4677
AUS,0.3159
AUT,0.2953
AZE,0.4043
BDI,0.5532
BEL,0.3347
BEN,0.5713
BFA,0.5209
BGD,0.5684
BGR,0.3542
BHR,0.4356
BHS,0.4584
BIH,0.3465
BLR,0.3232
BLZ,0.4673
BOL,0.4508
BRA,0.3685
BRB,0.371
BRN,0.404
BTN,0.515
BWA,0.4324
CAF,0.5787
CAN,0.2816
CHE,0.2513
CHL,0.3322
CHN,0.3815
CIV,0.4892
CMR,0.4856
COD,0.5609
COG,0.5224
COL,0.4054
COM,0.541
CPV,0.4204
CRI,0.3765
CUB,0.4406
CYP,0.3585
CZE,0.2638
DEU,0.3015
DJI,0.5017
DMA,0.4391
DNK,0.3474
DOM,0.4329
DZA,0.3674
ECU,0.4613
EGY,0.4113
ERI,0.5915
ESP,0.3047
EST,0.3344
ETH,0.5224
FIN,0.2802
FJI,0.4532
FRA,0.3042
FSM,0.6212
GAB,0.4363
GBR,0.2881
GEO,0.3943
GHA,0.4477
GIN,0.5291
GMB,0.5235
GNB,0.6128
GNQ,0.41
GRC,0.3369
GRD,0.3828
GTM,0.4343
GUY,0.43
HND,0.445
HRV,0.3798
HTI,0.5095
HUN,0.3532
IDN,0.4305
IND,0.4846
IRL,0.3156
IRN,0.3762
IRQ,0.436
ISL,0.3223
ISR,0.2894
ITA,0.3419
JAM,0.4219
JOR,0.3663
JPN,0.369
KAZ,0.3158
KEN,0.5005
KGZ,0.3106
KHM,0.4806
KIR,0.557
KNA,
KOR,0.3569
KWT,0.3616
LAO,0.4858
LBN,0.3991
LBR,0.5378
LBY,0.4156
LCA,0.3751
LIE,
LKA,0.4747
LSO,0.4721
LTU,0.3596
LUX,0.3113
LVA,0.3597
MAR,0.3683
MCO,
MDA,0.3938
MDG,0.5575
MDV,0.5504
MEX,0.3865
MHL,0.5899
MKD,0.3723
MLI,0.5755
MLT,0.3197
MMR,0.5143
MNE,0.3632
MNG,0.3653
MOZ,0.4931
MRT,0.5783
MUS,0.4119
MWI,0.549
MYS,0.3669
NAM,0.4541
NER,0.633
NGA,0.4811
NIC,0.4456
NLD,0.3539
NOR,0.2556
NPL,0.49
NRU,0.5091
NZL,0.3043
OMN,0.4202
PAK,0.5151
PAN,0.4065
PER,0.4091
PHL,0.4438
PLW,0.5126
PNG,0.5496
POL,0.3057
PRK,0.4603
PRT,0.3185
PRY,0.3725
PSE,
QAT,0.3513
ROU,0.4118
RUS,0.3237
RWA,0.5673
SAU,0.4082
SDN,0.6119
SEN,0.5349
SGP,0.3887
SLB,0.6293
SLE,0.5973
SLV,0.4254
SMR,
SOM,0.6105
SRB,0.4215
SSD,
STP,0.5418
SUR,0.4037
SVK,0.3602
SVN,0.3143
SWE,0.317
SWZ,0.4476
SYC,0.4441
SYR,0.4864
TCD,0.6396
TGO,0.5029
THA,0.4349
TJK,0.3561
TKM,0.3719
TLS,0.5381
TON,0.6066
TTO,0.3712
TUN,0.3792
TUR,0.3746
TUV,0.5763
TZA,0.516
UGA,0.5356
UKR,0.3651
URY,0.3747
USA,0.312
UZB,0.3589
VAT,
VCT,0.4315
VEN,0.3731
VNM,0.4678
VUT,0.5631
WSM,0.5133
YEM,0.5341
ZAF,0.3946
ZMB,0.4846
ZWE,0.4982
