iso3,ep_poverty_headcount_685,ep_informal_employment_share,ep_agrarian_employment_share,ep_income_volatility
AFG,,0.8614,0.6454,1.0
AGO,0.8,0.9449,0.6494,0.3949
ALB,0.199,,0.3847,0.3068
AND,,,,0.613
ARE,0.006,,0.018,0.4913
ARG,0.152,0.5282,0.0875,0.6544
ARM,0.474,0.7614,0.3371,0.5345
ATG,,0.1276,,0.8337
AUS,0.015,,0.0272,0.1266
AUT,0.01,0.0338,0.0346,0.3304
AZE,0.359,,0.4278,0.3675
BDI,0.974,0.9804,1.0,0.1992
BEL,0.003,0.0327,0.0123,0.2782
BEN,0.865,0.9635,0.503,0.2361
BFA,0.904,0.9509,0.6472,0.2324
BGD,0.715,0.8404,0.5533,0.14
BGR,0.044,0.0415,0.0586,0.292
BHR,,,0.0104,0.3373
BHS,,0.1825,0.0097,0.9489
BIH,0.117,0.1657,0.2089,0.2917
BLR,0.026,,0.1185,0.4093
BLZ,0.197,,0.2017,0.7859
BOL,0.174,0.8387,0.3089,0.6072
BRA,0.206,0.3562,0.0953,0.3767
BRB,0.158,0.6178,0.0156,0.7527
BRN,,0.2139,0.015,0.2811
BTN,0.09,,0.5296,0.5918
BWA,0.632,0.7558,0.2254,0.708
CAF,0.961,,0.8258,1.0
CAN,0.006,,0.0138,0.2852
CHE,0.003,0.0109,0.028,0.1971
CHL,0.045,0.2637,0.0758,0.4578
CHN,0.213,,0.271,0.2627
CIV,0.809,0.9213,0.5671,0.4599
CMR,0.74,0.871,0.5232,0.1582
COD,0.98,0.9734,0.7316,0.3779
COG,0.824,0.8528,0.4544,0.6462
COL,0.37,0.5601,0.177,0.4763
COM,0.682,0.8881,0.4195,0.1512
CPV,0.65,0.6059,0.1156,0.9186
CRI,0.097,0.3611,0.1436,0.313
CUB,,,0.1941,0.436
CYP,0.001,0.0265,0.0269,0.5959
CZE,0.008,0.038,0.0339,0.318
DEU,0.016,0.0395,0.0134,0.2586
DJI,0.808,0.4762,0.0144,0.2158
DMA,,,,0.7214
DNK,0.006,0.0707,0.0203,0.2242
DOM,0.14,0.535,0.0876,0.5525
DZA,0.418,,0.1186,0.2859
ECU,0.301,0.6845,0.406,0.5824
EGY,0.585,0.6861,0.2191,0.1709
ERI,,,0.6935,0.5853
ESP,0.023,0.0385,0.0422,0.5153
EST,0.013,0.0598,0.037,0.3985
ETH,0.935,0.7765,0.7518,0.2661
FIN,0.004,0.02,0.0437,0.2185
FJI,0.613,0.457,0.4455,0.8862
FRA,0.003,0.0378,0.0292,0.3453
FSM,0.781,,,0.3219
GAB,0.329,0.8605,0.3608,0.299
GBR,0.009,0.1981,0.0106,0.4618
GEO,0.456,0.5146,0.4244,0.4961
GHA,0.854,0.7805,0.4322,0.409
GIN,0.766,,0.592,0.2569
GMB,0.782,0.8406,0.3444,0.4786
GNB,0.914,0.9477,0.7634,0.2831
GNQ,0.581,,0.6915,0.673
GRC,0.032,0.0433,0.1335,0.6521
GRD,0.196,0.4805,,0.6247
GTM,0.473,0.7593,0.3632,0.2339
GUY,0.542,0.5125,0.1527,1.0
HND,0.498,0.8261,0.2803,0.5023
HRV,0.02,0.0531,0.0541,0.5631
HTI,0.882,0.9161,0.5827,0.3824
HUN,0.049,0.0986,0.0514,0.3642
IDN,0.652,0.8097,0.3412,0.2394
IND,0.821,0.872,0.5203,0.4427
IRL,0.003,0.0389,0.0482,0.8463
IRN,0.36,,0.1703,0.4667
IRQ,0.28,0.6764,0.1021,0.7842
ISL,0.004,0.0198,0.0451,0.4562
ISR,0.044,,0.0095,0.3141
ITA,0.019,0.1094,0.0418,0.4559
JAM,0.229,0.5464,0.1743,0.409
JOR,0.153,0.5422,0.0389,0.1291
JPN,0.033,,0.0352,0.2177
KAZ,0.152,,0.1415,0.3042
KEN,0.901,0.8649,0.5724,0.2242
KGZ,0.652,0.5755,0.1931,0.5477
KHM,,0.8939,0.4176,0.3749
KIR,0.52,0.6152,,0.3899
KNA,,,,0.6776
KOR,0.005,0.2912,0.0638,0.1957
KWT,,,0.0236,0.5054
LAO,0.703,0.9049,0.8575,0.2995
LBN,0.507,0.5545,0.0439,0.887
LBR,0.883,0.8935,0.514,0.467
LBY,,,0.125,1.0
LCA,0.078,0.2921,0.0934,1.0
LIE,,,,0.474
LKA,0.533,0.6635,0.3232,0.5849
LSO,0.838,0.8913,0.386,0.4448
LTU,0.032,0.0562,0.0583,0.2411
LUX,0.002,0.0597,0.011,0.2551
LVA,0.028,0.0965,0.0833,0.3833
MAR,0.49,,0.3487,0.399
MCO,,,,0.9192
MDA,0.204,0.5537,0.6313,0.6542
MDG,0.966,0.9608,0.8651,0.3535
MDV,0.112,0.4733,0.1413,1.0
MEX,0.214,0.5688,0.1425,0.3951
MHL,0.365,0.3258,,0.4659
MKD,0.205,0.1196,0.1063,0.2748
MLI,0.886,0.9277,0.7877,0.2849
MLT,0.011,,0.011,0.5401
MMR,0.798,0.8071,0.5619,0.7702
MNE,0.145,,0.0524,0.7183
MNG,0.244,0.2745,0.3375,0.6237
MOZ,0.963,0.9551,0.9126,0.3219
MRT,0.712,0.8931,0.4015,0.2676
MUS,0.191,0.2345,0.0589,0.6085
MWI,0.971,0.9265,0.8122,0.2333
MYS,0.029,,0.1148,0.3776
NAM,0.611,0.5564,0.2792,0.4676
NER,0.961,0.9849,0.9124,0.3899
NGA,0.929,0.9315,0.4192,0.4311
NIC,0.465,0.8179,0.3809,0.4512
NLD,0.003,0.0542,0.0213,0.2907
NOR,0.004,0.0203,0.0313,0.1561
NPL,0.527,0.8152,0.2864,0.3393
NRU,0.685,0.9392,,0.9371
NZL,,,0.0677,0.1558
OMN,,,0.0743,0.3918
PAK,0.871,0.8869,0.4529,0.2775
PAN,0.198,0.5573,0.2005,0.898
PER,0.362,0.7046,0.2892,0.6204
PHL,0.587,,0.2561,0.5063
PLW,,0.0726,,0.652
PNG,0.921,,0.4608,0.4993
POL,0.011,0.1455,0.0778,0.2957
PRK,,,0.676,
PRT,0.022,0.0532,0.0347,0.4535
PRY,0.205,0.6446,0.1996,0.3982
PSE,0.286,0.488,0.0793,1.0
QAT,0.0,,0.0203,0.6899
ROU,0.051,0.0243,0.1368,0.3929
RUS,0.009,0.1923,0.0639,0.315
RWA,0.898,0.9006,0.4381,0.4094
SAU,,,0.0312,0.4921
SDN,0.732,0.9419,0.4972,1.0
SEN,0.786,0.8921,0.3697,0.2364
SGP,,,0.0012,0.4808
SLB,0.907,,0.5308,0.4134
SLE,0.915,0.9447,0.5562,0.6715
SLV,0.299,0.6395,0.1732,0.4569
SMR,,,,0.7696
SOM,,0.8194,0.3754,0.5193
SRB,0.09,0.1714,0.2253,0.3124
SSD,0.976,,0.797,1.0
STP,0.7,,0.1508,0.2057
SUR,0.209,0.5094,0.0872,0.6578
SVK,0.041,0.0634,0.027,0.2752
SVN,0.001,0.0482,0.0457,0.3728
SWE,0.015,0.0374,0.0221,0.2519
SWZ,0.793,0.533,0.1818,0.2683
SYC,0.084,0.1422,,0.7036
SYR,0.893,,0.2037,1.0
TCD,0.895,0.9757,0.8967,0.5178
TGO,0.87,0.9234,0.4699,0.1385
THA,0.117,0.6317,0.357,0.3736
TJK,0.554,0.6363,0.5409,0.1388
TKM,0.846,,0.2742,0.3168
TLS,0.96,0.8057,0.5752,1.0
TON,0.267,0.5921,0.2951,0.3626
TTO,0.305,,0.0562,0.51
TUN,0.207,0.369,0.1557,0.3961
TUR,0.041,0.2771,0.1777,0.3803
TUV,0.606,0.2009,,0.6472
TZA,0.915,0.9078,0.8071,0.1706
UGA,0.936,0.9448,0.8107,0.1992
UKR,0.113,,0.1765,1.0
URY,0.059,0.2854,0.1009,0.4217
USA,0.018,,0.0191,0.1949
UZB,0.124,,0.315,0.1939
VAT,,,,
VCT,,,0.1134,0.3398
VEN,0.433,0.5831,0.1109,1.0
VNM,0.215,0.6703,0.313,0.197
