iso3,unhcr_refugees_by_coa,unhcr_refugees_by_coo,unhcr_idps_by_country,unhcr_asylum_seekers_by_coa,unhcr_stateless_by_country
AFG,0.0098,1.0,1.0,0.0002,0.0
AGO,0.0137,0.0065,0.0,0.016,0.0
ALB,0.0917,0.1815,0.0,0.0002,0.0173
AND,,0.0,,,
ARE,0.0025,0.0005,0.0,0.0111,0.0
ARG,0.002,0.0002,0.0,0.0023,0.0
ARM,0.9102,0.104,0.0,0.006,0.0018
ATG,0.0,0.0158,0.0,0.0011,0.0
AUS,0.0254,0.0,0.0,0.0615,0.0055
AUT,0.6131,0.0001,0.0,0.0568,0.0089
AZE,0.0125,0.2868,1.0,0.0004,0.0005
BDI,0.1484,0.4622,0.0099,0.0024,0.001
BEL,0.3144,0.0001,0.0,0.0958,0.0014
BEN,0.0225,0.0016,0.0173,0.0097,0.0
BFA,0.0342,0.143,1.0,0.0012,0.0
BGD,0.1317,0.0034,0.0,0.0,0.1317
BGR,0.3186,0.0016,0.0,0.0088,0.0026
BHR,0.003,0.0034,0.0,0.0015,0.0
BHS,0.0005,0.0625,0.0,0.001,0.0
BIH,0.0034,0.1629,0.5992,0.0011,0.0001
BLR,0.0916,0.0411,0.0,0.0028,0.0122
BLZ,0.0172,0.0046,0.0,0.0956,0.0
BOL,0.0018,0.001,0.0,0.0001,0.0
BRA,0.0252,0.0004,0.0,0.0085,0.0
BRB,0.0004,0.0262,0.0,0.0006,0.0
BRN,0.0,0.0002,0.0,0.0,0.9018
BTN,,0.1839,,,
BWA,0.0067,0.0026,0.0,0.0002,0.0
CAF,0.204,1.0,1.0,0.0312,0.0
CAN,0.1886,0.0002,0.0,0.147,0.0042
CHE,0.452,0.0,0.0,0.0369,0.0029
CHL,0.0025,0.0045,0.0,0.012,0.0017
CHN,0.0,0.0022,0.0,0.0,0.0
CIV,0.0015,0.0194,0.0,0.0442,0.583
CMR,0.283,0.1039,0.6656,0.0132,0.0
COD,0.0943,0.2099,0.9454,0.0003,0.0
COG,0.1973,0.0444,0.0,0.0248,0.0
COL,0.0005,0.0302,1.0,0.0094,0.0
COM,0.0001,0.0536,0.0,0.0003,0.0
CPV,0.0,0.0005,0.0,0.0,0.0044
CRI,0.1257,0.0011,0.0,0.762,0.0015
CUB,0.0002,0.0492,0.0,0.0001,0.0
CYP,0.6957,0.0001,0.0,0.3622,0.0018
CZE,0.6988,0.0014,0.0,0.0018,0.0011
DEU,0.6475,0.0001,0.0,0.0767,0.0067
DJI,0.4206,0.036,0.0,0.1566,0.0
DMA,0.0,0.0272,0.0,0.0015,0.0
DNK,0.293,0.0001,0.0,0.0093,0.0285
DOM,0.0,0.0018,0.0,0.0017,0.0
DZA,0.0777,0.0036,0.0,0.0017,0.0
ECU,0.0281,0.0057,0.0,0.0059,0.0
EGY,0.0388,0.0041,0.0,0.1332,0.0
ERI,0.0007,1.0,0.0,0.0,0.0
ESP,0.1929,0.0,0.0,0.1132,0.0044
EST,0.6035,0.0017,0.0,0.0032,0.9179
