iso3,v2xcl_dmove,v2xcl_slave,v2xnp_client,v2x_rule
AFG,0.954,0.916,0.948,0.916
AGO,0.22,0.477,0.742,0.619
ALB,0.066,0.127,0.769,0.408
AND,,,,
ARE,0.722,0.796,0.457,0.362
ARG,0.204,0.321,0.442,0.423
ARM,0.096,0.127,0.412,0.547
ATG,,,,
AUS,0.149,0.214,0.056,0.01
AUT,0.128,0.123,0.105,0.068
AZE,0.459,0.365,0.838,0.947
BDI,0.398,0.438,0.862,0.917
BEL,0.059,0.12,0.059,0.036
BEN,0.074,0.06,0.51,0.23
BFA,0.369,0.428,0.591,0.518
BGD,0.35,0.407,0.396,0.689
BGR,0.111,0.188,0.618,0.44
BHR,0.523,0.454,0.572,0.755
BHS,,,,
BIH,0.347,0.236,0.813,0.538
BLR,0.213,0.337,0.118,0.884
BLZ,,,,
BOL,0.172,0.177,0.419,0.719
BRA,0.141,0.235,0.409,0.138
BRB,0.09,0.348,0.28,0.073
BRN,,,,
BTN,0.31,0.272,0.333,0.129
BWA,0.241,0.4,0.395,0.178
CAF,0.551,0.663,0.64,0.882
CAN,0.209,0.165,0.058,0.037
CHE,0.116,0.117,0.059,0.005
CHL,0.077,0.27,0.088,0.049
CHN,0.696,0.644,0.195,0.791
CIV,0.309,0.183,0.54,0.605
CMR,0.232,0.282,0.842,0.914
COD,0.35,0.612,0.761,0.892
COG,0.551,0.514,0.854,0.818
COL,0.317,0.355,0.596,0.251
COM,0.357,0.245,0.705,0.825
CPV,0.169,0.149,0.401,0.202
CRI,0.14,0.075,0.129,0.065
CUB,0.68,0.102,0.506,0.877
CYP,0.158,0.376,0.232,0.12
CZE,0.075,0.125,0.068,0.055
DEU,0.066,0.097,0.038,0.009
DJI,0.497,0.531,0.697,0.705
DMA,,,,
DNK,0.101,0.106,0.034,0.003
DOM,0.2,0.298,0.841,0.436
DZA,0.427,0.33,0.784,0.75
ECU,0.226,0.306,0.663,0.628
EGY,0.398,0.537,0.6,0.679
ERI,0.982,0.982,0.884,0.936
ESP,0.083,0.13,0.1,0.053
EST,0.075,0.053,0.058,0.015
ETH,0.688,0.395,0.574,0.685
FIN,0.062,0.219,0.069,0.015
FJI,0.254,0.218,0.406,0.251
FRA,0.218,0.221,0.073,0.033
FSM,,,,
GAB,0.147,0.18,0.454,0.584
GBR,0.257,0.259,0.065,0.045
GEO,0.1,0.156,0.435,0.457
GHA,0.068,0.264,0.629,0.432
GIN,0.681,0.615,0.536,0.894
GMB,0.113,0.182,0.373,0.204
GNB,0.403,0.446,0.651,0.831
GNQ,0.789,0.562,0.794,0.954
GRC,0.101,0.232,0.16,0.192
GRD,,,,
GTM,0.331,0.515,0.742,0.305
GUY,0.152,0.422,0.511,0.48
HND,0.188,0.21,0.771,0.474
HRV,0.085,0.22,0.252,0.198
HTI,0.404,0.35,0.877,0.829
HUN,0.264,0.333,0.502,0.395
IDN,0.326,0.31,0.713,0.662
IND,0.225,0.442,0.453,0.603
IRL,0.1,0.118,0.145,0.017
IRN,0.618,0.325,0.382,0.791
IRQ,0.501,0.462,0.802,0.801
ISL,0.058,0.185,0.086,0.017
ISR,0.31,0.217,0.1,0.111
ITA,0.065,0.328,0.218,0.135
JAM,0.134,0.112,0.297,0.153
JOR,0.296,0.142,0.515,0.226
JPN,0.09,0.188,0.14,0.044
KAZ,0.238,0.314,0.565,0.783
KEN,0.284,0.18,0.487,0.36
KGZ,0.298,0.238,0.74,0.647
KHM,0.457,0.626,0.762,0.932
KIR,,,,
KNA,,,,
KOR,0.09,0.185,0.123,0.083
KWT,0.638,0.715,0.596,0.309
LAO,0.746,0.674,0.298,0.654
LBN,0.51,0.377,0.882,0.711
LBR,0.185,0.136,0.751,0.64
LBY,0.694,0.684,0.366,0.875
LCA,,,,
LIE,,,,
LKA,0.322,0.227,0.104,0.171
LSO,0.136,0.265,0.372,0.284
LTU,0.101,0.208,0.131,0.08
LUX,0.087,0.134,0.044,0.021
LVA,0.076,0.168,0.131,0.027
MAR,0.448,0.268,0.565,0.474
MCO,,,,
MDA,0.11,0.323,0.396,0.211
MDG,0.297,0.351,0.867,0.852
