iso3,wb_gini,wb_lower_secondary_completion,wb_remittances_pct_gdp,wb_labor_productivity,wb_bribery_incidence,wb_wgi_rule_of_law
AFG,,0.3795,0.113,0.9156,0.1559,0.8871
AGO,0.6956,0.5788,0.0014,0.7975,0.3585,0.7339
ALB,0.2089,0.0,0.2403,0.6235,0.252,0.5237
AND,,0.0662,0.037,,,0.218
ARE,0.1422,0.0,0.0093,0.0959,,0.4006
ARG,0.4978,0.0501,0.0047,0.5062,0.1544,0.5503
ARM,0.1644,0.0211,0.1407,0.6079,0.0031,0.5285
ATG,,0.0,0.0339,,0.1146,0.3796
AUS,0.3067,,0.0029,0.0427,,0.2059
AUT,0.2489,0.042,0.0186,0.0,0.0411,0.1645
AZE,0.1467,0.1969,0.052,0.6125,0.0124,0.5971
BDI,0.3889,0.72,0.2196,0.986,0.2336,0.7606
BEL,0.1511,0.0757,0.0659,0.0,0.1143,0.2434
BEN,0.32,0.7213,0.0492,0.9317,0.1894,0.5825
BFA,0.3867,0.7212,0.083,0.9521,0.2353,0.6768
BGD,0.2422,0.2619,0.1747,0.8319,0.3832,0.692
BGR,0.4333,0.0599,0.0666,0.3819,0.0153,0.5067
BHR,,0.0022,,0.133,0.0718,0.4664
BHS,,0.0474,0.0119,0.4545,0.35,0.4498
BIH,0.2289,0.0621,0.3014,0.5548,0.0584,0.5638
BLR,0.0978,0.0,0.0693,0.5284,0.0818,0.7461
BLZ,0.4422,0.2089,0.1375,0.7279,0.1036,0.5794
BOL,0.4644,0.1149,0.0666,0.8274,0.2427,0.7535
BRA,0.6733,,0.0064,0.6578,0.1945,0.5892
BRB,0.3133,0.0266,0.0428,0.6413,0.0,0.3544
BRN,,0.0,,0.0,0.055,0.3825
BTN,0.1889,0.4345,0.1024,0.7579,0.005,0.3419
BWA,0.7756,0.0856,0.0189,0.5777,0.1023,0.4376
CAF,0.5111,0.9111,0.0004,0.98,0.3773,0.843
CAN,0.2556,,0.0011,0.0793,0.0971,0.2078
CHE,0.3067,0.04,0.0111,0.0,,0.1473
CHL,0.5111,0.0,0.0009,0.4686,0.0215,0.3618
CHN,0.3556,0.0,0.0048,0.6208,0.0024,0.6159
CIV,0.34,0.2916,0.0581,0.8602,0.3308,0.6156
CMR,0.4933,0.6502,0.037,0.8947,0.3609,0.7507
COD,0.5489,0.441,0.0806,0.966,0.4756,0.8253
COG,0.6422,0.5211,0.0085,0.8459,0.4555,0.7357
COL,0.7644,0.1698,0.081,0.6669,0.0458,0.6119
COM,0.2289,0.5586,0.658,0.9191,0.1505,0.7262
CPV,0.4978,0.1696,0.3501,0.7851,0.0232,0.4152
CRI,0.5667,0.3861,0.0217,0.4858,0.0933,0.3767
CUB,,0.1077,,,,0.6247
CYP,0.2622,0.0,0.0514,0.4148,0.0955,0.3622
CZE,0.1267,0.0493,0.035,0.1985,0.0485,0.2624
DEU,0.3044,0.2861,0.0129,0.0,0.0016,0.1748
DJI,0.48,,0.0385,0.6593,0.1854,0.7021
DMA,,0.0957,0.162,,0.0971,0.4205
DNK,0.22,0.0075,0.0102,0.0,0.0298,0.0991
DOM,0.4222,0.203,0.2586,0.5529,0.2057,0.5365
DZA,0.1689,0.2097,0.0191,0.4916,0.3133,0.6394
ECU,0.5756,0.0953,0.15,0.7574,0.24,0.693
EGY,0.1889,0.1613,0.2171,0.5063,0.051,0.6503
ERI,,0.466,0.0133,,0.0,0.8605
ESP,0.2978,0.066,0.0105,0.0927,0.0072,0.3136
EST,0.2378,0.0183,0.0329,0.3271,0.0,0.2027
ETH,0.2467,0.7856,0.1362,0.9462,0.2946,0.7098
FIN,0.1644,0.0215,0.0072,0.0,0.0475,0.0957
FJI,0.2378,0.0265,0.2031,0.7168,0.1149,0.4388
FRA,0.2622,0.0051,0.0351,0.0,0.0265,0.3043
FSM,0.4467,0.2486,0.2124,,0.0758,0.3046
GAB,0.4,0.7983,0.0037,0.3951,0.3424,0.7311
GBR,0.2756,0.0197,0.0037,0.0982,0.0345,0.246
GEO,0.3089,0.1415,0.3392,0.5419,0.0167,0.4702
GHA,0.5222,0.1489,0.1051,0.8454,0.2826,0.4892
GIN,0.2133,0.6554,0.0704,0.8924,0.1267,0.7296
GMB,0.4178,0.387,0.6285,0.9097,0.335,0.5788
GNB,0.2978,0.6368,0.2797,0.9468,0.4606,0.747
GNQ,0.4111,0.8111,0.002,0.6353,0.675,0.8081
GRC,0.2978,0.061,0.0063,0.2348,0.091,0.4403
GRD,0.5289,0.1054,0.1001,,0.1102,0.3918
GTM,0.56,0.5071,0.5463,0.7392,0.0473,0.6925
GUY,0.5578,0.187,0.0921,0.0,0.2479,0.5668
HND,0.5711,0.6344,0.7343,0.8581,0.1458,0.7354
HRV,0.2244,0.0,0.206,0.1647,0.1139,0.4245
HTI,0.4689,0.7257,0.4657,0.9437,,0.8207
HUN,0.2356,0.0623,0.0703,0.316,0.0201,0.4615
IDN,0.32,0.0034,0.0328,0.7607,0.3391,0.5413
IND,0.1222,0.1201,0.1006,0.801,0.4538,0.5078
IRL,0.2,0.0,0.0031,0.0,0.0042,0.1817
IRN,0.3533,0.1476,0.0157,0.5061,,0.747
IRQ,0.2178,0.551,0.0071,0.5269,0.8411,0.7716
ISL,0.1511,0.0221,0.0211,0.0558,0.0123,0.1744
ISR,0.4067,0.0219,0.005,0.1373,0.475,0.3801
ITA,0.3178,0.0367,0.0134,0.0,0.0434,0.3762
JAM,0.4422,0.1436,0.4626,0.832,0.0315,0.5155
JOR,0.3044,0.0869,0.2373,0.6598,0.0643,0.4663
JPN,0.2733,,0.0033,0.2967,,0.1977
KAZ,0.2044,0.0255,0.0024,0.3684,0.2737,0.5763
KEN,0.4111,0.0,0.1187,0.8844,0.5532,0.5929
KGZ,0.1667,0.0634,0.7594,0.8485,0.5235,0.6872
KHM,,0.3843,0.1743,0.9043,0.4514,0.7113
KIR,0.1044,0.0402,0.136,,0.8019,0.3428
KNA,,0.0,0.0986,,0.0371,0.3819
KOR,0.2867,0.0273,0.0111,0.1796,0.0003,0.2765
KWT,,0.1467,0.0004,0.3469,0.0015,0.4538
LAO,0.3267,0.5072,0.0427,0.8476,0.5101,0.6485
LBN,0.3444,0.4708,0.9529,0.67,0.3631,0.7171
LBR,0.34,0.5549,0.6079,0.9758,0.343,0.6736
LBY,,,0.0008,0.633,,0.8396
LCA,0.5267,0.1698,0.068,0.6026,0.051,0.3993
