iso3,ctdc_share_debt_bondage,ctdc_share_doc_withholding,ctdc_share_threats,ctdc_share_excessive_hours,ctdc_share_deny_basic_needs,ctdc_fl_victim_count_log,glotip_fl_detected_log,glotip_fl_share_of_detected,gsi_prevalence,gsi_vuln_total,gsi_vuln_conflict,gsi_vuln_disenfranchised,gsi_vuln_governance
AFG,0.011088829471182412,0.0,0.0,0.011879754288806135,0.0,0.3146434053290268,0.0,,0.11970816675734745,0.8602649725236131,1.0,0.8056682712557202,0.7505462929235014
AGO,,,,,,,0.4715474838324873,0.5021834061135371,0.034950575896481643,0.606796085574081,0.2893773688269381,0.7721474298905262,0.502819698030105
ALB,,,,,,0.07804162493140201,0.4260356189214056,0.04108858057630736,0.10869945438175276,0.38894543581057567,0.2114381469531418,0.7435115445487094,0.3734836900614385
AND,,,,,,,0.3500281126642994,0.7959183673469388,,,,,
ARE,0.19271620874054954,0.2589159943916641,0.16940782410787134,0.24438351679829765,0.2414329778099155,0.4535578370885683,0.2830363791475759,0.0375,0.1236154504099842,0.3892490452156063,0.04820562234316497,0.7419679745209906,0.5652814954483097
ARG,0.25314986304943266,0.04837546880948716,0.11982504632020168,0.20862007531561994,0.16551521593197585,0.23955286040749066,1.0,0.6179607626416137,0.03535593973937024,0.348611015016933,0.1452434371398776,0.41482397794122616,0.39107010952038623
ARM,,,,,,,0.49956576932451,0.7538461538461538,0.0810758354993215,0.47621168926883684,0.20768860588166324,0.7198747287327895,0.5922215985937018
ATG,,,,,,,0.0,,,,,,
AUS,,,,,,,0.6713352248165755,0.42661448140900193,0.010676185415832679,0.05872725963422485,0.2614102554125957,0.23078742675240507,0.0
AUT,,,,,,,0.7428562206845343,0.3632555356074207,0.013036731963628909,0.07074894437184892,0.18480852561455663,0.31144533335869184,0.07188348195737042
AZE,,,,,,,0.3608160866484867,0.04483837330552659,0.09667128157703708,0.5646277701601764,0.33118236999097556,0.9489071320806999,0.664325450054931
BDI,0.047665416234336344,0.0,0.12220962435642459,0.05106521246531592,0.24758660824318773,0.2127233202149003,0.0,,0.06731813075778499,0.7646358501052056,0.4579833375859741,0.843870514659003,0.7688495912487294
BEL,,,,,,,0.7818217613861931,0.6211180124223602,0.004542701204697988,0.09904983698632495,0.283655601812791,0.09294029684567294,0.12154611420476967
BEN,,,,,,,0.0,0.0,0.024443914550803632,0.4752464719908867,0.17765591701068997,0.6136723032661423,0.48324838512823554
BFA,,,,,,,0.0,0.0,0.030770470251363133,0.5512632612814613,0.6058762535412731,0.6327544752332662,0.46270410262467837
BGD,0.8682174010288526,0.25490009382580725,1.0,0.9665693314585141,1.0,0.6115122409057243,0.7397657163528241,0.49291075896580483,0.06299762863875319,0.5766728357890875,0.5332259671407152,0.9067134003723745,0.5147594649526255
BGR,,,,,,0.017972877624789566,0.7208858087769165,0.13386666666666666,0.07671415939236087,0.25136482500064145,0.13011716434921602,0.6651985119282291,0.2193372905135777
