iso3,birthreg_incompleteness_collapsed,birthreg_incompleteness_temporal,childlabor_collapsed,childlabor_temporal,emdat_disaster_shock_collapsed,emdat_disaster_shock_temporal,ndgain_vuln_collapsed,ndgain_vuln_temporal,ucdp_conflict_intensity_collapsed,ucdp_conflict_intensity_temporal,unctad_export_concentration_collapsed,unctad_export_concentration_temporal,unhcr_idps_collapsed,unhcr_idps_temporal,unhcr_refugees_coo_collapsed,unhcr_refugees_coo_temporal
AFG,0.577,0.577,0.2325,0.2325,0.21975104655626643,0.18919117480029135,0.58751617832868,0.5263519289570696,1.0,1.0,0.098,0.049,1.0,1.0,1.0,1.0
AGO,0.75,0.75,0.7525000000000001,0.7525000000000001,0.06299948563908386,0.05868160697815358,0.506373424333808,0.5565388269749941,0.0023491620842388933,0.0021629762069310192,0.104,0.3237857142857153,0.0,0.0,0.006471545615884179,0.006329287697484605
ALB,0.015999999999999903,0.015999999999999903,0.1375,0.1375,0.15040923332693906,0.13619078073381682,0.380184451027829,0.1900922255139145,0.0,0.0,0.104,0.552,0.0,0.0,0.18152998071622561,0.16932021190605362
AND,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.122,0.33930357142857215,,,0.0,0.0004426997073334839
ARE,0.0,0.0,,,0.0001977899949027889,0.00020641102083589978,0.382862724694561,0.32452037959363667,0.00027306488021553924,0.0003024531605405438,0.166,0.42175000000000024,0.0,0.0,0.0005042598121313624,0.0004198476663942115
ARG,0.0030000000000000027,0.0030000000000000027,0.125631275,0.125631275,0.011135202851513188,0.012290934919614575,0.383358084544623,0.3218082787670521,0.0,0.0,0.077,0.24403571428571252,0.0,0.0,0.00018688660462687904,0.0001399911239035544
ARM,0.007000000000000006,0.007000000000000006,0.2475,0.2475,0.004164331630130213,0.0056747778392923914,0.357311529443697,0.4292853283966257,0.0646118345145871,0.07109438527802138,0.165,0.3871428571428562,0.0,0.0,0.10403164661282349,0.09581324061488668
ATG,,,,,0.0,0.007681914266789378,0.467682283209992,0.4197961795460339,0.0,0.0,0.231,0.19603571428572106,0.0,0.0,0.01578296293136544,0.017321220042857924
AUS,0.0,0.0,,,0.006299911180766334,0.005776971124030547,0.31593723845745,0.33574062257858756,0.0,0.0,0.114,0.31798214285714194,0.0,0.0,2.3532169873439575e-05,2.0770518961172053e-05
AUT,0.0,0.0,,,0.10793402079019114,0.09757253473779733,0.295316568589894,0.3561220267418497,0.00043582565317735425,0.0003831437426817011,0.056,0.27228571428571396,0.0,0.0,6.10155914448296e-05,5.878683454351037e-05
AZE,0.06400000000000006,0.06400000000000006,0.13,0.13,0.0,0.0002622633807629656,0.404253804565205,0.42051674341026274,0.8106574352410066,0.7321225853037661,0.143,0.34239285714285506,1.0,1.0,0.28679885874801403,0.21961736238296703
BDI,0.16500000000000004,0.16500000000000004,0.7975,0.7975,0.014233630836916223,0.01625670663377564,0.553186563369384,0.4475435354980771,0.033599600677288226,0.03361598086136685,0.084,0.26896428571428327,0.009866323419220651,0.02112250157141483,0.4621824392826029,0.4664113330142808
BEL,0.0,0.0,,,0.11982643834311105,0.0796941881539381,0.334702001024289,0.3315700768205676,0.00016865383042363312,0.0002096815192358449,0.105,0.3369642857142857,0.0,0.0,0.0001079384514711252,9.882965289886785e-05
BEN,0.14400000000000002,0.14400000000000002,0.6025,0.6025,0.007360370010518074,0.007148653697490447,0.5713164455052,0.4920924842267782,0.006153750842510719,0.007117321197032123,0.17,0.22482142857142712,0.017287199838702586,0.009395136884314181,0.0015571063929588921,0.0012799974680046736
BFA,0.23099999999999998,0.23099999999999998,1.0,1.0,0.13939392446683332,0.09089951461800974,0.520926376262667,0.2987214505137842,0.5345924275231062,0.591344372819194,0.311,0.559964285714285,1.0,1.0,0.14298744380866255,0.08072153350851556
BGD,0.43999999999999995,0.43999999999999995,0.1250521,0.1250521,0.20338504089515627,0.20595819116805647,0.568382610178076,0.5402990888753427,0.00020165662182384197,0.0002191551832975769,0.092,0.268232142857142,0.0,0.0,0.003377229869950377,0.002926374994740994
BGR,0.0,0.0,,,0.495581487376776,0.4474941327865931,0.354212115609604,0.3473077692791541,0.0,0.0,0.062,0.1854642857142847,0.0,0.0,0.0015555573839995864,0.0017342244746972324
BHR,0.0,0.0,,,0.0,0.0,0.435632072422982,0.4714531390757515,0.0,0.0,0.141,0.07755357142855665,0.0,0.0,0.0033864805151478912,0.0041951101828550524
BHS,,,,,0.0,0.15846056606919573,0.458425830822161,0.49037383972352,0.0,0.0,0.3,0.1933035714285716,0.0,0.0,0.06249953274870852,0.05161098633909798
