iso3,country,year,demscore_tied_status_signal,tied_component,enforcement_component,n_switch_cols,n_control_cols,n_components
JPN,Japan,2018,0.7916666666666667,0.8333333333333334,0.75,6,4,10
MYS,Malaysia,2018,0.6944444444444444,0.8888888888888888,0.5,9,4,13
ARG,Argentina,2018,0.625,1.0,0.25,8,4,12
IDN,Indonesia,2018,0.625,1.0,0.25,3,4,7
ESP,Spain,2018,0.5138888888888888,0.7777777777777778,0.25,9,4,13
SLV,El Salvador,2018,0.5,1.0,0.0,9,1,10
DOM,Dominican Republic,2018,0.4583333333333333,0.6666666666666666,0.25,6,4,10
HUN,Hungary,2018,0.4583333333333333,0.6666666666666666,0.25,9,4,13
MEX,Mexico,2018,0.41666666666666663,0.3333333333333333,0.5,6,4,10
TWN,Taiwan,2018,0.3888888888888889,0.7777777777777778,0.0,9,4,13
AUT,Austria,2018,0.375,0.5,0.25,6,4,10
IRL,Ireland,2018,0.29166666666666663,0.3333333333333333,0.25,3,4,7
DEU,Germany,2018,0.25,0.0,0.5,3,4,7
FRA,France,2018,0.2361111111111111,0.2222222222222222,0.25,9,4,13
SGP,Singapore,2018,0.20833333333333331,0.16666666666666666,0.25,6,4,10
BRA,Brazil,2018,0.16666666666666666,0.3333333333333333,0.0,9,1,10
PHL,Philippines,2018,0.16666666666666666,0.3333333333333333,0.0,9,1,10
KOR,South Korea,2018,0.125,0.0,0.25,9,4,13
URY,Uruguay,2018,0.125,0.0,0.25,9,4,13
ECU,Ecuador,2018,0.125,0.0,0.25,9,4,13
CHN,China,2018,0.125,0.0,0.25,3,4,7
GTM,Guatemala,2018,0.125,0.0,0.25,9,4,13
COL,Colombia,2018,0.125,0.0,0.25,9,4,13
PER,Peru,2018,0.0,0.0,0.0,9,1,10
CHL,Chile,2018,0.0,0.0,0.0,9,1,10
PRT,Portugal,2018,0.0,0.0,0.0,9,1,10
BOL,Bolivia,2018,0.0,0.0,0.0,9,1,10
TLS,Timor-Leste,2018,0.0,0.0,0.0,9,4,13
CRI,Costa Rica,2018,0.0,0.0,0.0,9,1,10
