iso3,country_name,v0_3_composite,v0_3_R,v0_3_E,v0_2_composite,v0_1_composite,locked_composite,v0_3_rank,v0_2_rank,kafala_tied_status,demscore_tied_status,glotip_fl_share,ndgain_temporal,unctad_temporal,gov_risk_wgi
AFG,Afghanistan,0.6661234226330408,0.7284454648905934,0.6091333333333333,0.6712771805173577,0.6712771805173577,0.614029,1.0,1.0,,,,0.5263519289570696,0.049,0.8871
TCD,Chad,0.66099676607747,0.5922492491025635,0.7377244047619047,0.655935293064415,0.655935293064415,0.512052,2.0,2.0,,,,0.5404199641025407,0.2594464285714281,0.7889
YEM,Yemen,0.6510479629036191,0.6144400902228445,0.6898369047619042,0.6548968548796443,0.6548968548796443,0.564584,3.0,3.0,,,,0.6006286089137818,0.1193214285714249,0.8803
SSD,South Sudan,0.6325577674111789,0.6096385416666666,0.656338636363635,0.6313308360370574,0.6313308360370574,0.57579,4.0,4.0,,,,,0.1629545454545402,0.8945
SDN,Sudan,0.6228901416418448,0.6553967726072523,0.5919957875457871,0.6028497851869901,0.6028497851869901,0.537574,5.0,5.0,,,,0.5235292376234277,0.3557747252747223,0.8547
COD,"Congo, The Democratic Republic of the",0.6095543237143904,0.5365672190858308,0.6924695738810549,0.5903653677377029,0.5903653677377029,0.510025,6.0,6.0,,,0.1296137339055794,0.4893387634332328,0.6038571428571443,0.8253
MMR,Myanmar,0.5811727043635342,0.4436964431228256,0.7612450303184501,0.5748364301250883,0.5748364301250883,0.507698,7.0,9.0,,,0.3235975066785396,0.4744493915796907,0.5744821428571463,0.8623
UGA,Uganda,0.5770167374551948,0.4635504255590024,0.7182569510144012,0.5787179599016317,0.5787179599016317,0.370888,8.0,8.0,,,0.6982024597918638,0.3652420223600957,0.3324107142857138,0.6477
ETH,Ethiopia,0.5729834533776467,0.4654789165782375,0.7053166666666665,0.579303522664525,0.579303522664525,0.408512,9.0,7.0,,,,0.261181663129497,0.2179999999999983,0.7098
SYR,Syria,0.5650711440068189,0.6247264443667234,0.5111123447204968,0.5475338151048114,0.5475338151048114,0.454371,10.0,13.0,,,0.6739130434782609,0.7093338861686538,0.2108928571428569,0.8627
SOM,Somalia,0.5617103001951179,0.5656214547329625,0.5578261904761905,0.5485602294301876,0.5485602294301876,0.523618,11.0,12.0,,,,0.5002331893185011,0.3253571428571439,0.9411
RWA,Rwanda,0.5535051106413288,0.4625200352129393,0.6623884030559263,0.5525895901631541,0.5525895901631541,0.258637,12.0,11.0,,,0.7420560747663552,0.4275180751842397,0.2959285714285697,0.4799
CAF,Central African Republic,0.5497322383479052,0.549997938386917,0.5494666666666667,0.5685366994225418,0.5685366994225418,0.484554,13.0,10.0,,,,0.5111758688100159,0.073,0.843
AGO,Angola,0.5441057214461161,0.4617982623410415,0.6410830448118113,0.5307083742336441,0.5307083742336441,0.388471,14.0,16.0,,,0.5021834061135371,0.5565388269749941,0.3237857142857153,0.7339
BFA,Burkina Faso,0.531735145237435,0.4168949112628446,0.6782099206349206,0.5310478455293077,0.5310478455293077,0.369134,15.0,15.0,,,0.0,0.2987214505137842,0.559964285714285,0.6768
MOZ,Mozambique,0.5315275909535694,0.4063597664720797,0.6952498826291075,0.5277917100560553,0.5277917100560553,0.37551,16.0,17.0,,,0.7887323943661971,0.4660323255498561,0.3571249999999973,0.739
CMR,Cameroon,0.5306652964739534,0.4083082407423798,0.6896888888888889,0.5350841780154783,0.5350841780154783,0.393127,17.0,14.0,,,,0.4541712963618598,0.0585,0.7507
HTI,Haiti,0.5297870608964033,0.37777634173008606,0.7429642857142856,0.5244989798309907,0.5244989798309907,0.407074,18.0,18.0,,,,0.4560786692034425,0.3692857142857139,0.8207
NER,Niger,0.5231957827021101,0.45266902214193266,0.6047107569721115,0.521535668621308,0.521535668621308,0.366135,19.0,20.0,,,0.0677290836653386,0.587544219010643,0.3290000000000002,0.6891
MWI,Malawi,0.519825731887796,0.3700597325936468,0.7302031746031745,0.5231982422254724,0.5231982422254724,0.271673,20.0,19.0,,,,0.4175643037458726,0.3476785714285706,0.5293
BDI,Burundi,0.5167287377259968,0.39508400505411856,0.6758273809523805,0.5158544065431641,0.5158544065431641,0.386079,21.0,22.0,,,,0.4475435354980771,0.2689642857142832,0.7606
ZWE,Zimbabwe,0.5140241597037374,0.3693694628103988,0.715329401485365,0.5137098496231554,0.5137098496231554,0.377297,22.0,23.0,,,0.4862385321100917,0.4439368457492838,0.301535714285715,0.7422
BGD,Bangladesh,0.5138725599079923,0.39247268555521686,0.6728239124534996,0.5073160163838092,0.5073160163838092,0.349134,23.0,25.0,,,0.4929107589658048,0.5402990888753427,0.268232142857142,0.692
TGO,Togo,0.5042564646531219,0.4057190317048692,0.6267257936507923,0.5001605018919205,0.5001605018919205,0.307519,24.0,28.0,,,,0.4405196015281019,0.4397321428571303,0.6266
COG,Congo,0.5031584845085633,0.4118011123695948,0.6147833333333332,0.5176417199397884,0.5176417199397884,0.373816,25.0,21.0,,,,0.4248444947837907,0.1305,0.7357
GNQ,Equatorial Guinea,0.5027154964824948,0.3944825076310073,0.64064404761905,0.5001665031536839,0.5001665031536839,0.395835,26.0,27.0,,,,0.4251044337519198,0.1011428571428669,0.8081
KEN,Kenya,0.5024901123279119,0.3478852915750628,0.7258033584694873,0.5067618353734684,0.5067618353734684,0.286423,27.0,26.0,,,0.9560117302052786,0.3565199963358481,0.2930714285714263,0.5929
GNB,Guinea-Bissau,0.5023796880675637,0.36313848725505393,0.6950112969039199,0.5080813549586369,0.5080813549586369,0.366628,28.0,24.0,,,0.8080094228504122,0.4352387205935554,0.3026607142857109,0.747
ERI,Eritrea,0.5022335091041306,0.4456208286399909,0.5660383928571431,0.48658622113660394,0.48658622113660394,0.439823,29.0,33.0,,,,0.4499207159997727,0.2435535714285721,0.8605
MLI,Mali,0.5009857670453872,0.43077903647211235,0.5826345238095245,0.4873509496484683,0.4873509496484683,0.37213,30.0,32.0,,,0.0,0.3702781255511604,0.5664821428571469,0.7189
NGA,Nigeria,0.49872695556632507,0.4074110105921898,0.6105101966854486,0.4816899362721101,0.4816899362721101,0.33129,31.0,37.0,,,0.4504196687216816,0.4022904236875953,0.5484464285714304,0.7014
MDG,Madagascar,0.4945238055118227,0.36591002392814687,0.668344068830204,0.49672340632106626,0.49672340632106626,0.327654,32.0,29.0,,,0.6057906458797327,0.5092842904592098,0.269821428571425,0.6765
MRT,Mauritania,0.49418957589221857,0.45251516359371524,0.5397019957983188,0.4880435545551448,0.4880435545551448,0.354077,33.0,31.0,,,0.1470588235294117,0.6022982104152782,0.2513928571428539,0.6727
NIC,Nicaragua,0.4906365287285363,0.35693009589321145,0.6744295482295479,0.48467158111095376,0.48467158111095376,0.394517,34.0,35.0,,,0.5192307692307693,0.3955288357284595,0.2543928571428552,0.8239
ZMB,Zambia,0.489578668882514,0.3708288203603778,0.6463555685662244,0.4924206726571448,0.4924206726571448,0.291297,35.0,30.0,,,0.9377049180327868,0.3973944810817776,0.2746964285714295,0.6122
LAO,Laos,0.48854727225805145,0.3955254782032917,0.6034464285714283,0.48269767009411363,0.48269767009411363,0.318937,36.0,36.0,,,,0.3914333896921671,0.2276785714285695,0.6485
KHM,Cambodia,0.4812023131087415,0.32256171918361953,0.7178646825396826,0.4791262642495713,0.4791262642495713,0.340564,37.0,39.0,,,,0.3109937673447802,0.260732142857144,0.7113
COM,Comoros,0.47860561952496466,0.41013283596629885,0.5585101190476192,0.46425053970306085,0.46425053970306085,0.325707,38.0,42.0,,,,0.5349884386519568,0.3281607142857152,0.7262
CIV,Côte d'Ivoire,0.47430634518217707,0.4078372088349977,0.5516085933470851,0.48091472964048526,0.48091472964048526,0.284725,39.0,38.0,,,0.5177496991576414,0.4463966867332423,0.1483392857142803,0.6156
GTM,Guatemala,0.4677548528118026,0.37580187595581177,0.5822073180782041,0.46338710864032645,0.4721662552816448,0.338269,40.0,43.0,,0.125,0.0239347711730668,0.3246917048991391,0.2366249999999978,0.6925
TZA,Tanzania,0.46616819025867895,0.3774861036727137,0.5756841894171167,0.47769168056619066,0.47769168056619066,0.270928,41.0,40.0,,,0.8588687534321802,0.3578691469085474,0.0930535714285658,0.6039
PAK,Pakistan,0.46249131112764263,0.44832266548958966,0.4771077380952375,0.46476558776007953,0.46476558776007953,0.343801,42.0,41.0,,,0.0,0.4150232862502516,0.187696428571425,0.7034
LBR,Liberia,0.460402920458821,0.3417453268383317,0.620259686147187,0.48482970471156894,0.48482970471156894,0.307749,43.0,34.0,,,0.7272727272727273,0.3553797401999334,0.319303571428576,0.6736
SEN,Senegal,0.45580651151250395,0.3514389931167638,0.5911682539682538,0.4550261052721774,0.4550261052721774,0.244676,44.0,45.0,,,,0.5440180580038843,0.2372142857142836,0.5409
SLE,Sierra Leone,0.45562277188701394,0.35536952060031246,0.5841584554334551,0.46188507072961416,0.46188507072961416,0.304207,45.0,44.0,,,0.5128205128205128,0.5498391573458326,0.1457857142857114,0.6677
HND,Honduras,0.4520874275484417,0.3305842042208553,0.6182480576441098,0.4498480644492026,0.4498480644492026,0.33133,46.0,46.0,,,0.1873433583959899,0.3898348355008799,0.1758749999999966,0.7354
GIN,Guinea,0.4482355320823293,0.47025102461697976,0.42725072717231094,0.4478299987044604,0.4478299987044604,0.339065,47.0,47.0,,,0.3556701030927835,0.4911743180125235,0.1105178571428518,0.7296
MAR,Morocco,0.4435754889637311,0.340585898759521,0.5777080470038479,0.4332320980317604,0.4332320980317604,0.251312,48.0,48.0,,,0.1187465640461792,0.2651109503808402,0.2716249999999982,0.5736
BTN,Bhutan,0.43577923989480494,0.4119574264260995,0.4609785714285709,0.41783215892953274,0.41783215892953274,0.126397,49.0,52.0,,,1.0,0.3845079399307858,0.2737142857142836,0.3419
LKA,Sri Lanka,0.42465865015107174,0.3107955852773825,0.5802365853658534,0.4182538771544943,0.4182538771544943,0.226376,50.0,51.0,,,0.4738675958188153,0.3705317444286323,0.3144285714285698,0.5515
GHA,Ghana,0.4235709528479081,0.29126617255581433,0.6159738720159981,0.42484130593159974,0.42484130593159974,0.19832,51.0,49.0,,,0.8987626546681665,0.22383856889924,0.3203928571428575,0.4892
IRQ,Iraq,0.41643419687038735,0.36787308103751537,0.47140562672863673,0.405074722986192,0.405074722986192,0.333813,52.0,56.0,,,0.0876712328767123,0.4048565748339474,0.2663392857142858,0.7716
IDN,Indonesia,0.4138423950861789,0.2749943807710934,0.6227964640238495,0.4141040116942725,0.40420361353485984,0.216755,53.0,53.0,,0.625,0.4441624365482233,0.2233252308437354,0.1606607142857117,0.5413
EGY,Egypt,0.41213118564439083,0.30225291432623896,0.561953602860286,0.404141803001971,0.404141803001971,0.269098,54.0,58.0,,,0.299009900990099,0.3721749063828943,0.2888749999999988,0.6503
LBY,Libya,0.410206722067033,0.3855778793097877,0.4364087357142861,0.36985759502814053,0.36985759502814053,0.319532,55.0,77.0,,,,0.4796136494113602,0.4908571428571444,0.8396
LBN,Lebanon,0.40976056873593975,0.37120476287783893,0.45232103809523805,0.3572783194955961,0.3572783194955961,0.27244,56.0,85.0,1.0,,0.0,0.395565515113557,0.4531964285714283,0.7171
NPL,Nepal,0.4091640531051641,0.4159269289927622,0.4025111400189212,0.398387621263767,0.398387621263767,0.224895,57.0,61.0,,,0.3087748344370861,0.3156354930438205,0.2492857142857126,0.5607
PSE,"Palestine, State of",0.40791307336868515,0.4308918518518518,0.38615971666666643,0.40639691555324753,0.40639691555324753,0.291508,58.0,55.0,,,,,0.1606249999999979,0.6979
IND,India,0.40633228983886643,0.3049439832612366,0.5414303571428564,0.41168103034152004,0.41168103034152004,0.207903,59.0,54.0,,,,0.2832843304494666,0.215982142857138,0.5078
VEN,Venezuela,0.40484310656124284,0.2840052876728069,0.577094681134878,0.39758763311252526,0.39758763311252526,0.375521,60.0,62.0,,,0.1775401069518716,0.4329365069122768,0.2484999999999996,0.9409
VUT,Vanuatu,0.4042307721308064,0.34818350125179615,0.46929999999999994,0.4211514981439444,0.4211514981439444,0.170289,61.0,50.0,,,,0.3152633708872165,0.103,0.4157
SWZ,Eswatini,0.4021240830535369,0.2850338555604188,0.5673142857142855,0.4011304646454401,0.4011304646454401,0.26633,62.0,59.0,,,1.0,0.2562542224167545,0.2984285714285697,0.672
