iso3,country_name,composite_score,composite_rank,outbound_remit,inbound_migrant,corridor_role
YEM,Yemen,0.6679896449475935,1.0,0.344,,neither
TCD,Chad,0.6578092314516651,2.0,0.0018,,neither
SSD,South Sudan,0.6251618718372484,4.0,0.2712,,neither
SYR,Syria,0.5769804751417962,8.0,0.0755,,neither
AFG,Afghanistan,0.634506472556969,3.0,0.113,,neither
UGA,Uganda,0.5813564973206649,7.0,0.0758,,neither
SDN,Sudan,0.6133585479976879,5.0,0.0829,,neither
COD,"Congo, The Democratic Republic of the",0.6006464100012697,6.0,0.0806,,neither
MMR,Myanmar,0.5767337326659114,9.0,0.0972,0.1573,neither
ETH,Ethiopia,0.5735752472792728,10.0,0.1362,,neither
RWA,Rwanda,0.5609337490933135,11.0,0.1037,,neither
CAF,Central African Republic,0.5466066360106407,12.0,0.0004,,neither
MOZ,Mozambique,0.5380844711734604,14.0,0.0335,,neither
KEN,Kenya,0.514979782301951,22.0,0.1187,,neither
MWI,Malawi,0.5259853149437108,18.0,0.0472,,neither
HTI,Haiti,0.53665512154137,16.0,0.4657,,neither
BFA,Burkina Faso,0.5286493200391329,17.0,0.083,0.22,neither
ZWE,Zimbabwe,0.5189237827564279,21.0,0.2414,0.3,neither
CMR,Cameroon,0.5232093234712522,19.0,0.037,,neither
AGO,Angola,0.5372115570979924,15.0,0.0014,,neither
GNQ,Equatorial Guinea,0.4980510289083583,27.0,0.002,,neither
NER,Niger,0.5210678861616831,20.0,0.0935,,neither
SOM,Somalia,0.5407695248143511,13.0,0.0843,,neither
BGD,Bangladesh,0.5114700675485245,23.0,0.1747,,neither
ZMB,Zambia,0.4990443418555075,26.0,0.0377,,neither
GNB,Guinea-Bissau,0.5111178435107413,24.0,0.2797,,neither
NGA,Nigeria,0.4972260880748427,28.0,0.2412,,neither
LAO,Laos,0.489373372828312,32.0,0.0427,,neither
TGO,Togo,0.496687881791913,29.0,0.2482,0.815,inbound-demand
BDI,Burundi,0.5081030879811598,25.0,0.2196,0.692,inbound-demand
MDG,Madagascar,0.4959041780429619,30.0,0.0666,,neither
MLI,Mali,0.4845287994437116,33.0,0.114,,neither
