iso3,country_name,composite_rank,national_pctile_risk,n_units,risk_mean,risk_p90,risk_max,worst_corridor_name,worst_corridor_risk,worst_corridor_top_decile,corridor_pctile,divergence,within_range,emdat_hotspots_95,emdat_in_layer
FJI,Fiji,102.0,0.4481,4,0.5427,0.6214,0.6493,Northern,0.6493,True,0.9654,0.5174,0.2126,0,True
SUR,Suriname,134.0,0.2732,7,0.2897,0.4048,0.5234,Sipaliwini,0.5234,False,0.7892,0.516,0.3676,0,True
ROU,Romania,139.0,0.2459,39,0.3781,0.4551,0.5009,Botosani,0.5009,False,0.7353,0.4894,0.2778,0,True
VNM,Vietnam,88.0,0.5246,39,0.5837,0.7127,0.7489,"Lào Cai, Điện Biên, Lai Châu, Yên Bái",0.7489,True,0.9952,0.4706,0.4135,0,True
ITA,Italy,177.0,0.0383,18,0.3217,0.3644,0.3855,"Emilia Romagna, Marche",0.3855,False,0.4768,0.4386,0.1215,0,True
THA,Thailand,80.0,0.5683,68,0.606,0.748,0.7766,"Ubon Ratchathani, Yasothon, Amnat Charoen",0.7766,True,1.0,0.4317,0.517,0,True
PHL,Philippines,71.0,0.6175,75,0.5375,0.6543,0.7057,"Kalinga-Apayao, Apayo, Kalinga",0.7057,True,0.9848,0.3673,0.4344,0,True
TUR,Türkiye,82.0,0.5574,61,0.4599,0.5203,0.5885,Mus,0.5885,True,0.915,0.3576,0.2791,0,True
BOL,Bolivia,100.0,0.459,9,0.4688,0.513,0.5368,Potosí,0.5368,False,0.8141,0.3551,0.1113,0,True
LCA,Saint Lucia,159.0,0.1366,4,0.3558,0.3882,0.3893,"Anse-la-Raye, Canaries, Micoud, Soufriere",0.3893,False,0.4872,0.3506,0.1242,0,True
BEN,Benin,74.0,0.6011,12,0.477,0.5344,0.6015,Alibori,0.6015,True,0.9274,0.3263,0.2784,0,False
PRT,Portugal,170.0,0.0765,22,0.231,0.3001,0.342,Tâmega,0.342,False,0.3974,0.3209,0.2391,0,True
USA,United States,160.0,0.1311,51,0.2779,0.3355,0.3704,Texas,0.3704,False,0.4506,0.3194,0.2299,0,True
JAM,Jamaica,143.0,0.224,14,0.3478,0.394,0.4107,Saint Elizabeth,0.4107,False,0.5377,0.3136,0.1316,0,True
ARM,Armenia,90.0,0.5137,11,0.4153,0.5164,0.5386,Armavir,0.5386,False,0.8203,0.3067,0.4005,0,False
PNG,Papua New Guinea,62.0,0.6667,20,0.5274,0.5896,0.6442,"Southern Highlands, Hela",0.6442,True,0.9585,0.2919,0.4565,0,True
BLR,Belarus,166.0,0.0984,6,0.3061,0.3286,0.3343,Gomel,0.3343,False,0.3801,0.2817,0.0542,0,False
NPL,Nepal,61.0,0.6721,14,0.5726,0.599,0.6034,Sagarmatha,0.6034,True,0.9302,0.2581,0.0973,0,True
FRA,France,173.0,0.0601,26,0.2331,0.291,0.2992,Languedoc-Roussillon,0.2992,False,0.3124,0.2523,0.1634,0,True
IDN,Indonesia,53.0,0.7158,26,0.4928,0.5722,0.6391,"Papua, Papua Barat",0.6391,True,0.9558,0.2399,0.2864,0,True
GHA,Ghana,50.0,0.7322,10,0.4788,0.5795,0.6482,Northern,0.6482,True,0.9648,0.2325,0.3045,0,True
AUT,Austria,172.0,0.0656,9,0.2418,0.2802,0.2858,Steiermark,0.2858,False,0.2833,0.2178,0.1188,0,True
COL,Colombia,91.0,0.5082,22,0.3604,0.4524,0.4964,Putumayo,0.4964,False,0.7243,0.2161,0.3339,0,True
GIN,Guinea,49.0,0.7377,33,0.5116,0.5896,0.6243,Mandiana,0.6243,True,0.9489,0.2112,0.2627,0,False
SVK,Slovakia,154.0,0.1639,8,0.2818,0.3028,0.3312,Prešovský,0.3312,False,0.3746,0.2106,0.0868,0,True
SVN,Slovenia,171.0,0.071,13,0.2135,0.2765,0.282,Gorenjska,0.282,False,0.2716,0.2006,0.1835,0,True
GBR,United Kingdom,148.0,0.1967,12,0.2779,0.323,0.3269,South West,0.3269,False,0.3677,0.1709,0.1593,0,True
MNG,Mongolia,103.0,0.4426,21,0.3473,0.4333,0.442,Arkhangai,0.442,False,0.6102,0.1676,0.2675,0,True
PER,Peru,78.0,0.5792,25,0.381,0.4377,0.4965,Huancavelica,0.4965,False,0.7263,0.1471,0.2947,0,True
ESP,Spain,145.0,0.2131,19,0.22,0.3016,0.323,Andalucía,0.323,False,0.3594,0.1462,0.254,0,True
CHE,Switzerland,176.0,0.0437,25,0.1952,0.2315,0.2346,Bern,0.2346,False,0.1783,0.1346,0.1095,0,True
