lat,lon,d
-43.797,172.448,0.0606
-41.768,-71.748,0.0606
-41.768,-69.231,0.0605
-41.768,169.93,0.0633
-41.768,172.448,0.065
-41.768,174.965,0.0646
-41.768,177.483,0.0622
-39.739,-76.783,0.0617
-39.739,-74.266,0.0669
-39.739,-71.748,0.0704
-39.739,-69.231,0.0721
-39.739,-66.713,0.0718
-39.739,-64.196,0.0695
-39.739,-61.678,0.0655
-39.739,-59.161,0.0602
-37.71,-79.301,0.0616
-37.71,-76.783,0.0704
-37.71,-74.266,0.0783
-37.71,-71.748,0.0848
-37.71,-69.231,0.0894
-37.71,-66.713,0.0919
-37.71,-64.196,0.0921
-37.71,-61.678,0.09
-37.71,-59.161,0.0857
-37.71,-56.643,0.0796
-37.71,-54.126,0.0721
-37.71,-51.608,0.0635
-35.681,-79.301,0.0694
-35.681,-76.783,0.0811
-35.681,-74.266,0.0925
-35.681,-71.748,0.1027
-35.681,-69.231,0.1112
-35.681,-66.713,0.1175
-35.681,-64.196,0.121
-35.681,-61.678,0.1215
-35.681,-59.161,0.1189
-35.681,-56.643,0.1133
-35.681,-54.126,0.1052
-35.681,-51.608,0.095
-35.681,-49.091,0.0835
-35.681,-46.573,0.0713
-33.652,-81.818,0.062
-33.652,-79.301,0.0756
-33.652,-76.783,0.09
-33.652,-74.266,0.1044
-33.652,-71.748,0.1181
-33.652,-69.231,0.1303
-33.652,-66.713,0.1402
-33.652,-64.196,0.1471
-33.652,-61.678,0.1504
-33.652,-59.161,0.1498
-33.652,-56.643,0.1453
-33.652,-54.126,0.1372
-33.652,-51.608,0.1259
-33.652,-49.091,0.1124
-33.652,-46.573,0.0975
-33.652,-44.056,0.0822
-33.652,-41.538,0.0673
-31.623,-81.818,0.0626
-31.623,-79.301,0.0773
-31.623,-76.783,0.0931
-31.623,-74.266,0.1093
-31.623,-71.748,0.1252
-31.623,-69.231,0.1399
-31.623,-66.713,0.1525
-31.623,-64.196,0.1621
-31.623,-61.678,0.1679
-31.623,-59.161,0.1695
-31.623,-56.643,0.1666
-31.623,-54.126,0.1595
-31.623,-51.608,0.1485
-31.623,-49.091,0.1345
-31.623,-46.573,0.1185
-31.623,-44.056,0.1014
-31.623,-41.538,0.0843
-31.623,-39.021,0.0681
-31.623,18.881,0.0601
-31.623,21.399,0.065
-31.623,23.916,0.0682
-31.623,26.434,0.0693
-31.623,28.951,0.0683
-31.623,31.469,0.0652
-31.623,33.986,0.0602
-29.594,-81.818,0.0602
-29.594,-79.301,0.075
-29.594,-76.783,0.091
-29.594,-74.266,0.1078
-29.594,-71.748,0.1247
-29.594,-69.231,0.1406
-29.594,-66.713,0.1549
-29.594,-64.196,0.1664
-29.594,-61.678,0.1745
-29.594,-59.161,0.1784
-29.594,-56.643,0.1778
-29.594,-54.126,0.1728
-29.594,-51.608,0.1635
-29.594,-49.091,0.1507
-29.594,-46.573,0.1352
-29.594,-44.056,0.118
-29.594,-41.538,0.1003
-29.594,-39.021,0.0828
-29.594,-36.503,0.0665
-29.594,18.881,0.0669
-29.594,21.399,0.0732
-29.594,23.916,0.0777
-29.594,26.434,0.0798
-29.594,28.951,0.0795
-29.594,31.469,0.0768
-29.594,33.986,0.0718
-29.594,36.503,0.0651
-29.594,147.273,0.0608
-29.594,149.79,0.0617
-29.594,152.308,0.0608
-27.565,-79.301,0.0727
-27.565,-76.783,0.0887
-27.565,-74.266,0.1056
-27.565,-71.748,0.1227
-27.565,-69.231,0.1394
-27.565,-66.713,0.1547
-27.565,-64.196,0.1677
-27.565,-61.678,0.1777
-27.565,-59.161,0.184
-27.565,-56.643,0.1861
-27.565,-54.126,0.1838
-27.565,-51.608,0.1771
-27.565,-49.091,0.1666
-27.565,-46.573,0.1527
-27.565,-44.056,0.1366
-27.565,-41.538,0.1189
-27.565,-39.021,0.1009
-27.565,-36.503,0.0833
-27.565,-33.986,0.067
-27.565,16.364,0.0623
-27.565,18.881,0.0708
-27.565,21.399,0.0782
-27.565,23.916,0.0837
-27.565,26.434,0.0869
-27.565,28.951,0.0875
-27.565,31.469,0.0855
-27.565,33.986,0.081
-27.565,36.503,0.0745
-27.565,39.021,0.0664
-27.565,149.79,0.0606
-25.536,-81.818,0.0606
-25.536,-79.301,0.0753
-25.536,-76.783,0.0914
-25.536,-74.266,0.1083
-25.536,-71.748,0.1255
-25.536,-69.231,0.1422
-25.536,-66.713,0.1578
-25.536,-64.196,0.1715
-25.536,-61.678,0.1825
-25.536,-59.161,0.1903
-25.536,-56.643,0.1943
-25.536,-54.126,0.1942
-25.536,-51.608,0.19
-25.536,-49.091,0.1817
-25.536,-46.573,0.1699
-25.536,-44.056,0.1551
-25.536,-41.538,0.1381
-25.536,-39.021,0.1199
-25.536,-36.503,0.1014
-25.536,-33.986,0.0836
-25.536,-31.469,0.067
-25.536,16.364,0.0672
-25.536,18.881,0.0769
-25.536,21.399,0.0855
-25.536,23.916,0.0924
-25.536,26.434,0.097
-25.536,28.951,0.0989
-25.536,31.469,0.098
-25.536,33.986,0.0944
-25.536,36.503,0.0884
-25.536,39.021,0.0805
-25.536,41.538,0.0714
-25.536,44.056,0.0618
-23.507,-81.818,0.0701
-23.507,-79.301,0.0856
-23.507,-76.783,0.102
-23.507,-74.266,0.1188
-23.507,-71.748,0.1354
-23.507,-69.231,0.1511
-23.507,-66.713,0.1654
-23.507,-64.196,0.1777
-23.507,-61.678,0.1874
-23.507,-59.161,0.1943
-23.507,-56.643,0.198
-23.507,-54.126,0.1981
-23.507,-51.608,0.1946
-23.507,-49.091,0.1876
-23.507,-46.573,0.1771
-23.507,-44.056,0.1636
-23.507,-41.538,0.1478
-23.507,-39.021,0.1303
-23.507,-36.503,0.112
-23.507,-33.986,0.0938
-23.507,-31.469,0.0764
-23.507,-28.951,0.0605
-23.507,13.846,0.0669
-23.507,16.364,0.079
-23.507,18.881,0.0908
-23.507,21.399,0.1017
-23.507,23.916,0.1108
-23.507,26.434,0.1175
-23.507,28.951,0.1213
-23.507,31.469,0.122
-23.507,33.986,0.1194
-23.507,36.503,0.114
-23.507,39.021,0.1061
-23.507,41.538,0.0963
-23.507,44.056,0.0855
-23.507,46.573,0.0741
-23.507,49.091,0.063
-23.507,149.79,0.0602
-21.478,-84.336,0.0709
-21.478,-81.818,0.0869
-21.478,-79.301,0.1038
-21.478,-76.783,0.1209
-21.478,-74.266,0.1374
-21.478,-71.748,0.1526
-21.478,-69.231,0.166
-21.478,-66.713,0.1771
-21.478,-64.196,0.1856
-21.478,-61.678,0.1913
-21.478,-59.161,0.1942
-21.478,-56.643,0.1942
-21.478,-54.126,0.1916
-21.478,-51.608,0.1862
-21.478,-49.091,0.1782
-21.478,-46.573,0.1677
-21.478,-44.056,0.155
-21.478,-41.538,0.1404
-21.478,-39.021,0.1245
-21.478,-36.503,0.1077
-21.478,-33.986,0.091
-21.478,-31.469,0.0748
-21.478,11.329,0.0688
-21.478,13.846,0.0833
-21.478,16.364,0.0984
-21.478,18.881,0.1133
-21.478,21.399,0.1272
-21.478,23.916,0.1393
-21.478,26.434,0.1488
-21.478,28.951,0.155
-21.478,31.469,0.1575
-21.478,33.986,0.1561
-21.478,36.503,0.151
-21.478,39.021,0.1426
-21.478,41.538,0.1316
-21.478,44.056,0.1187
-21.478,46.573,0.1048
-21.478,49.091,0.0907
-21.478,51.608,0.077
-21.478,54.126,0.0642
-21.478,144.755,0.0605
-21.478,147.273,0.0625
-21.478,149.79,0.0638
-21.478,152.308,0.0644
-21.478,154.825,0.0646
-21.478,157.343,0.0643
-21.478,159.86,0.0638
-21.478,162.378,0.063
-21.478,164.895,0.062
-21.478,167.413,0.0608
-19.449,-86.853,0.0732
-19.449,-84.336,0.0907
-19.449,-81.818,0.1091
-19.449,-79.301,0.1278
-19.449,-76.783,0.1456
-19.449,-74.266,0.1617
-19.449,-71.748,0.1752
-19.449,-69.231,0.1854
-19.449,-66.713,0.1922
-19.449,-64.196,0.1953
-19.449,-61.678,0.1951
-19.449,-59.161,0.1918
