iso3,wp1.0_ws0.0,wp0.85_ws0.15,wp0.7_ws0.3,wp0.5_ws0.5,wp0.3_ws0.7
ARM,0.7062,0.6019,0.5386,0.4542,0.3698
AUT,0.1998,0.2393,0.2858,0.349,0.4122
BEN,0.6942,0.6479,0.6016,0.5398,0.5208
BFA,0.7583,0.7121,0.6658,0.6042,0.5698
BLR,0.2438,0.2834,0.3343,0.4021,0.4699
BOL,0.5163,0.5265,0.5368,0.5612,0.6153
BRA,0.33,0.3508,0.4007,0.4871,0.585
BWA,0.3108,0.3007,0.2905,0.3022,0.3355
CAN,0.1279,0.1759,0.2511,0.3515,0.4519
CHE,0.2,0.2171,0.2346,0.2921,0.3496
CIV,0.7214,0.6235,0.5384,0.5048,0.4712
CMR,0.6669,0.6482,0.6295,0.6046,0.5796
COL,0.5107,0.5035,0.4964,0.5233,0.5939
CRI,0.2585,0.3103,0.3629,0.4329,0.5029
DOM,0.2604,0.2637,0.3002,0.3805,0.467
ECU,0.4237,0.4275,0.4448,0.545,0.6647
EGY,0.261,0.2672,0.2881,0.3159,0.3437
ESP,0.2523,0.2675,0.323,0.3995,0.476
ETH,0.7054,0.7165,0.7276,0.7424,0.7572
FJI,0.7947,0.6982,0.6492,0.584,0.5884
FRA,0.1894,0.2329,0.2992,0.4022,0.5053
GBR,0.1857,0.2499,0.327,0.4326,0.5381
GHA,0.6937,0.671,0.6482,0.618,0.5876
GIN,0.8126,0.709,0.6243,0.5154,0.4289
GRC,0.3165,0.2763,0.2796,0.3151,0.3506
GTM,0.535,0.5349,0.5347,0.5346,0.5344
HND,0.5509,0.5305,0.5163,0.509,0.5222
HTI,0.566,0.605,0.6441,0.6961,0.7481
IDN,0.6205,0.6298,0.6392,0.6629,0.7692
IRL,0.2263,0.2501,0.2829,0.3266,0.3703
IRN,0.4171,0.432,0.4469,0.478,0.5173
IRQ,0.4124,0.3505,0.3066,0.2632,0.235
ITA,0.2752,0.3303,0.3854,0.459,0.5324
JAM,0.3884,0.3996,0.4108,0.4257,0.4535
JOR,0.2222,0.2178,0.2134,0.2205,0.2363
KEN,0.5718,0.5895,0.6072,0.6486,0.7354
KGZ,0.2722,0.3205,0.3703,0.4366,0.5029
KHM,0.6134,0.5806,0.5524,0.5266,0.506
LAO,0.7068,0.6479,0.6119,0.582,0.552
LBR,0.6976,0.6112,0.5248,0.4169,0.4043
LCA,0.4352,0.4123,0.3893,0.3588,0.3282
LSO,0.5433,0.4983,0.4533,0.4096,0.3715
MAR,0.3682,0.3824,0.402,0.4292,0.4563
MEX,0.3585,0.3983,0.4481,0.5228,0.5974
MLI,0.699,0.6688,0.6426,0.6224,0.602
MMR,0.5753,0.5544,0.5335,0.5327,0.5509
MNG,0.4663,0.4542,0.442,0.4544,0.4754
MOZ,0.5458,0.5745,0.6042,0.6438,0.6834
MUS,0.2935,0.3126,0.3317,0.3571,0.3825
MWI,0.6756,0.6382,0.6167,0.5881,0.5595
MYS,0.3442,0.3915,0.4389,0.502,0.5651
NIC,0.5542,0.536,0.5396,0.5716,0.6036
NPL,0.6218,0.5916,0.6034,0.6354,0.6673
PAN,0.4665,0.466,0.4654,0.5074,0.5893
PER,0.43,0.4632,0.4964,0.5407,0.5854
PHL,0.7862,0.7114,0.7057,0.704,0.723
PNG,0.7218,0.683,0.6442,0.5924,0.5406
PRT,0.3083,0.3252,0.342,0.3645,0.4241
PRY,0.5691,0.5309,0.4927,0.523,0.5726
PSE,0.2591,0.2491,0.2392,0.231,0.2515
ROU,0.5026,0.5018,0.5009,0.4998,0.5196
SDN,0.6056,0.5795,0.5667,0.5496,0.5326
SEN,0.565,0.5478,0.5305,0.526,0.5492
SLE,0.6663,0.5664,0.4664,0.3881,0.3223
SLV,0.5709,0.54,0.5091,0.4906,0.4889
SSD,0.7606,0.6761,0.6211,0.5479,0.4896
SUR,0.5549,0.5392,0.5234,0.5024,0.4815
SVK,0.2847,0.3058,0.3313,0.3652,0.3991
SVN,0.2895,0.275,0.2821,0.3057,0.3293
TGO,0.655,0.6115,0.5679,0.5434,0.5327
THA,0.8874,0.8188,0.7766,0.7364,0.7204
TUR,0.6844,0.6365,0.5885,0.527,0.5413
TZA,0.6567,0.6094,0.5831,0.5666,0.563
UGA,0.7667,0.6806,0.5945,0.543,0.5621
USA,0.1315,0.2355,0.3704,0.5503,0.7302
VEN,0.2828,0.299,0.3205,0.3491,0.4034
VNM,0.8444,0.7907,0.749,0.7318,0.7466
ZMB,0.6927,0.6701,0.6476,0.6175,0.5874
