id,iso3,cntry,name,value,local_I,z_sim,p_raw,p_fdr,quadrant,cluster_raw,cluster_fdr,gistar_z,gistar_p_fdr,gistar_cluster
040011,AUT,Austria,Burgenland,0.214,1.1498598509061653,1.8706546936811217,0.029,0.07647932330827069,Low-Low,Low-Low,Not-Significant,-1.009442129392183,0.07647932110760446,Not-Significant
040012,AUT,Austria,Niederösterreich,0.231,1.0556450660316627,2.333790781132613,0.007,0.030218461538461538,Low-Low,Low-Low,Low-Low,-0.9928282339965361,0.03012576780104838,Cold-Spot
040013,AUT,Austria,Wien,0.167,1.6320086681947654,1.0981197979737571,0.163,0.2526950276243094,Low-Low,Not-Significant,Not-Significant,-1.2961284173821785,0.25042460956290663,Not-Significant
040021,AUT,Austria,Kärnten,0.249,0.6882404045445973,1.960592922634332,0.023,0.066125,Low-Low,Low-Low,Not-Significant,-0.745444326457999,0.06612500012852252,Not-Significant
040022,AUT,Austria,Steiermark,0.286,0.7135937448862681,2.7635684981683832,0.004,0.02040727272727273,Low-Low,Low-Low,Low-Low,-0.975334274374505,0.02040727369656617,Cold-Spot
040031,AUT,Austria,Oberösterreich,0.279,0.6686048641858017,1.5573236789614358,0.058,0.13082636655948554,Low-Low,Not-Significant,Not-Significant,-0.8532521941900859,0.1291938611337846,Not-Significant
040032,AUT,Austria,Salzburg,0.262,0.6919751566886859,1.7281984271550774,0.044,0.1062512908777969,Low-Low,Low-Low,Not-Significant,-0.8081757338143006,0.10212478198537174,Not-Significant
040033,AUT,Austria,Tirol,0.255,0.7513111541234782,1.949925032400634,0.026,0.07166601178781926,Low-Low,Low-Low,Not-Significant,-0.8334507490964375,0.0698705189694387,Not-Significant
040034,AUT,Austria,Vorarlberg,0.234,1.1885322991877936,1.973314739480802,0.02,0.05982942430703625,Low-Low,Low-Low,Not-Significant,-1.1068072838038796,0.0598294229697444,Not-Significant
051901,ARM,Armenia,Yerevan,0.138,-0.8866975198211423,-1.0378008030285304,0.168,0.25536728060671726,Low-High,Not-Significant,Not-Significant,0.07374521343794298,0.25536727716385477,Not-Significant
051902,ARM,Armenia,Aragatsotn,0.516,0.014159334382656385,0.05599687382874167,0.482,0.48998481561822127,High-High,Not-Significant,Not-Significant,0.1353711742659808,0.48998482601847754,Not-Significant
051903,ARM,Armenia,Ararat,0.503,0.06143333152721503,0.2101339930189458,0.42,0.457145073700543,High-High,Not-Significant,Not-Significant,0.17787183690600702,0.4582554081183838,Not-Significant
051904,ARM,Armenia,Armavir,0.539,0.19687452036260641,0.40552965614411934,0.336,0.40222525597269626,High-High,Not-Significant,Not-Significant,0.35772691380539146,0.40391194328325064,Not-Significant
051905,ARM,Armenia,Gegharkunik,0.494,0.1300583134534733,0.38535791270668296,0.348,0.41097979797979795,High-High,Not-Significant,Not-Significant,0.2887599294304396,0.4109797861539956,Not-Significant
051906,ARM,Armenia,Lori,0.404,0.02374367705942502,0.5374840522632606,0.296,0.37346043165467624,High-High,Not-Significant,Not-Significant,0.22925900173440306,0.3734604364676441,Not-Significant
051907,ARM,Armenia,Kotayk,0.312,-0.09457725067568555,-0.4418129719525432,0.329,0.3965524054982818,Low-High,Not-Significant,Not-Significant,0.07644980106049024,0.3962120125733732,Not-Significant
051908,ARM,Armenia,Shirak,0.444,0.21911812088381907,1.065854731624301,0.162,0.2517009966777409,High-High,Not-Significant,Not-Significant,0.5463719004780541,0.2526950315052633,Not-Significant
051909,ARM,Armenia,Syunik,0.36,-0.04600328709135692,-0.3162140253086219,0.388,0.43688924558587483,Low-High,Not-Significant,Not-Significant,0.07870362407927904,0.4368892584719589,Not-Significant
051910,ARM,Armenia,Vayots Dzor,0.411,0.05718531424726609,0.7291307486411577,0.242,0.3258406909788868,High-High,Not-Significant,Not-Significant,0.3469085633152029,0.3258406892132851,Not-Significant
051911,ARM,Armenia,Tavush,0.447,0.032515496106395446,0.14724622721669395,0.438,0.4651884935654807,High-High,Not-Significant,Not-Significant,0.15927779700099592,0.46413443426621287,Not-Significant
068001,BOL,Bolivia,Chuquisaca,0.474,0.3269561671910674,1.306177871417436,0.105,0.19107003891050583,High-High,Not-Significant,Not-Significant,0.5779254227411034,0.18983891159872113,Not-Significant
068002,BOL,Bolivia,La Paz,0.507,0.1929185526307664,0.6574422436826826,0.258,0.3405211665098777,High-High,Not-Significant,Not-Significant,0.31310121803336355,0.3398816722379604,Not-Significant
068003,BOL,Bolivia,Cochabamba,0.5,0.41351840326262856,1.3633690542308885,0.09,0.1727359781121751,High-High,Not-Significant,Not-Significant,0.5854918285898962,0.17297260961303973,Not-Significant
068004,BOL,Bolivia,Oruro,0.445,0.3075844359418528,1.4706413888600824,0.073,0.15309267563527654,High-High,Not-Significant,Not-Significant,0.7204797286795257,0.15309267338526802,Not-Significant
068005,BOL,Bolivia,Potosí,0.537,0.506704073402575,1.0281988974723586,0.17,0.25673842841765343,High-High,Not-Significant,Not-Significant,0.6079012688910006,0.2564623682889887,Not-Significant
068006,BOL,Bolivia,Tarija,0.447,0.26746362320108497,1.2328714928785967,0.122,0.20924938875305624,High-High,Not-Significant,Not-Significant,0.6224384273621917,0.20873902673583206,Not-Significant
068007,BOL,Bolivia,Santa Cruz,0.426,0.03598112170701133,0.37830797879182565,0.358,0.417865224625624,High-High,Not-Significant,Not-Significant,0.16338297464236182,0.41786523659197544,Not-Significant
068008,BOL,Bolivia,Beni,0.452,0.09664820513793931,0.5390718133036703,0.301,0.3766275555555555,High-High,Not-Significant,Not-Significant,0.2635171116199996,0.37629305559407333,Not-Significant
068009,BOL,Bolivia,Pando,0.432,-0.05641273304119418,-0.4224437744240618,0.338,0.4039119390347164,High-Low,Not-Significant,Not-Significant,-0.12188662459296654,0.4018823475229974,Not-Significant
072001,BWA,Botswana,Gaborone,0.158,2.2743921452312748,2.8263645705444755,0.002,0.013754901960784313,Low-Low,Low-Low,Low-Low,-1.471926612847742,0.0137549026141071,Cold-Spot
072002,BWA,Botswana,Francistown,0.097,2.746505291293516,1.4008452409815177,0.084,0.1662228490832158,Low-Low,Not-Significant,Not-Significant,-1.6849128881233284,0.16103299496591178,Not-Significant
072003,BWA,Botswana,Lobatse,0.115,3.736945084939149,2.0250429129252465,0.005,0.023699324324324325,Low-Low,Low-Low,Low-Low,-1.9350872432089377,0.023619528091591013,Cold-Spot
072004,BWA,Botswana,Selebi Phikwe,0.162,1.9714814878235085,1.292289124121739,0.109,0.19456361323155216,Low-Low,Not-Significant,Not-Significant,-1.4110733913404316,0.18925032815889936,Not-Significant
072007,BWA,Botswana,"Central Tutume, Sowa",0.218,1.5897135922621546,2.983086798930424,0.001,0.00929139072847682,Low-Low,Low-Low,Low-Low,-1.3299357626640178,0.009291391169794199,Cold-Spot
072010,BWA,Botswana,"Ngwaketse, Ngwaketse West, Ngwaketse Southern, Southern, Jwaneng",0.224,1.8279333795785166,3.886898242164276,0.001,0.00929139072847682,Low-Low,Low-Low,Low-Low,-1.5520983173732465,0.009291391169794199,Cold-Spot
072011,BWA,Botswana,Borolong,0.14,2.6536214916604552,2.2377369854383686,0.006,0.026639240506329116,Low-Low,Low-Low,Low-Low,-1.609409816993888,0.026639240737886555,Cold-Spot
072020,BWA,Botswana,South East,0.094,3.13714882206848,3.0666580850200233,0.001,0.00929139072847682,Low-Low,Low-Low,Low-Low,-1.6531339835583996,0.009291391169794199,Cold-Spot
072030,BWA,Botswana,"Kweneng, Kweneng South, Kweneng North",0.198,1.8181322253960983,3.353535940646184,0.001,0.00929139072847682,Low-Low,Low-Low,Low-Low,-1.3830615909640507,0.009291391169794199,Cold-Spot
072040,BWA,Botswana,Kgatleng,0.191,1.7100791113740643,2.480716300531908,0.004,0.02040727272727273,Low-Low,Low-Low,Low-Low,-1.2839577730807163,0.02040727369656617,Cold-Spot
072050,BWA,Botswana,Central Serowe/Palapye,0.269,1.053706655932975,3.075202503691752,0.001,0.00929139072847682,Low-Low,Low-Low,Low-Low,-1.2159567128566746,0.009291391169794199,Cold-Spot
