iso3,country_name,value,local_I,z_sim,p_raw,p_fdr,quadrant,cluster_raw,cluster_fdr,gistar_z,gistar_p_fdr,gistar_cluster
FJI,Fiji,0.128357,-0.0,,,,Low-Low,Isolate (no neighbours),Isolate (no neighbours),,,Isolate (no neighbours)
TZA,Tanzania,0.270928,0.4385461850247212,2.8972328156663445,0.004,0.03311111111111111,High-High,High-High,High-High,0.9296079179539841,0.0331111126838045,Hot-Spot
CAN,Canada,0.034944,1.4948727174952066,1.2285718930903524,0.115,0.22253246753246755,Low-Low,Not-Significant,Not-Significant,-1.2295168816423931,0.2167272794169265,Not-Significant
USA,United States,0.05839,0.47554383611181866,0.6367591856664473,0.276,0.3843364485981309,Low-Low,Not-Significant,Not-Significant,-0.6599740841433668,0.3827758721750358,Not-Significant
KAZ,Kazakhstan,0.152623,-0.020148685080307437,-0.07423109715370028,0.448,0.48146258503401357,Low-High,Not-Significant,Not-Significant,-0.03444458302249544,0.48146257899245437,Not-Significant
UZB,Uzbekistan,0.177956,-0.1862630651931566,-1.713988133184297,0.046,0.14023529411764707,Low-High,Low-High,Not-Significant,0.5861611358203652,0.13987755129227833,Not-Significant
PNG,Papua New Guinea,0.23699,0.007827949958035946,0.009932380620036086,0.459,0.48146258503401357,High-High,Not-Significant,Not-Significant,0.11656551628422468,0.48146257899245437,Not-Significant
IDN,Indonesia,0.216755,-0.003682823315445781,-0.18617755547273898,0.449,0.48146258503401357,High-Low,Not-Significant,Not-Significant,-0.057549633666639864,0.48146257899245437,Not-Significant
ARG,Argentina,0.151982,0.1787615300298559,0.9715527754412159,0.16,0.28047058823529414,Low-Low,Not-Significant,Not-Significant,-0.4122599049355098,0.28047058196628794,Not-Significant
CHL,Chile,0.081367,-0.0067422560698016665,0.021125540787084604,0.491,0.4943175675675675,Low-High,Not-Significant,Not-Significant,-0.237336159133933,0.49431756420715434,Not-Significant
COD,"Congo, The Democratic Republic of the",0.510025,2.349612357590208,3.159976930547891,0.002,0.01752941176470588,High-High,High-High,High-High,1.189582792265407,0.017529412597308263,Hot-Spot
SOM,Somalia,0.523618,2.359232395108565,1.5642440700058164,0.074,0.175015873015873,High-High,Not-Significant,Not-Significant,1.4559724854941059,0.17501587527138845,Not-Significant
KEN,Kenya,0.286423,0.7594622417113446,2.8339011024788694,0.008,0.056761904761904756,High-High,High-High,Not-Significant,1.201176774464814,0.05676190745795057,Not-Significant
SDN,Sudan,0.537574,3.516508504551613,3.8584271009621003,0.001,0.01146153846153846,High-High,High-High,High-High,1.5924063396160273,0.011461539005932327,Hot-Spot
TCD,Chad,0.512052,3.484819853189896,3.7019370018742777,0.001,0.01146153846153846,High-High,High-High,High-High,1.674919575675925,0.011461539005932327,Hot-Spot
HTI,Haiti,0.407074,-0.17395006524488638,-0.14090074814204628,0.47,0.48146258503401357,High-Low,Not-Significant,Not-Significant,0.6714788913941493,0.48146257899245437,Not-Significant
DOM,Dominican Republic,0.195248,-0.17395006524488635,-1.5042459849178105,0.067,0.16822580645161292,Low-High,Not-Significant,Not-Significant,0.6714788913941493,0.16822580716783,Not-Significant
RUS,Russian Federation,0.200624,0.048499939620677446,2.4489461056808914,0.01,0.06208333333333333,Low-Low,Low-Low,Not-Significant,-0.578162360339831,0.0620833319456627,Not-Significant
BHS,Bahamas,0.103775,-0.0,,,,Low-Low,Isolate (no neighbours),Isolate (no neighbours),,,Isolate (no neighbours)
NOR,Norway,0.012675,1.4893747629701695,1.8669331192418601,0.025,0.10315384615384615,Low-Low,Low-Low,Not-Significant,-1.128483483695294,0.10315384882955979,Not-Significant
TLS,Timor-Leste,0.220849,0.0029158900475567476,0.01187643367897415,0.463,0.48146258503401357,High-High,Not-Significant,Not-Significant,0.056281240873836076,0.48146257899245437,Not-Significant
ZAF,South Africa,0.139454,-0.19690213538105425,-0.9449001878876991,0.174,0.29130337078651686,Low-High,Not-Significant,Not-Significant,0.23992400290399563,0.29130336240436255,Not-Significant
LSO,Lesotho,0.221083,-0.03909067870026793,-0.5943445532792602,0.294,0.386104347826087,High-Low,Not-Significant,Not-Significant,-0.23155273800308684,0.3827758721750358,Not-Significant
MEX,Mexico,0.275408,-0.04385095187251816,-0.18383661602187268,0.453,0.48146258503401357,High-Low,Not-Significant,Not-Significant,0.05071257383728998,0.48146257899245437,Not-Significant
URY,Uruguay,0.063605,0.45593996223826494,0.6247951596350005,0.284,0.3860454545454545,Low-Low,Not-Significant,Not-Significant,-0.644932582883463,0.3827758721750358,Not-Significant
BRA,Brazil,0.159196,0.060519590392064705,0.5584790233584389,0.296,0.386104347826087,Low-Low,Not-Significant,Not-Significant,-0.17767679267304506,0.3827758721750358,Not-Significant
BOL,Bolivia,0.24405,-0.0679769123416282,-0.6588216838565124,0.259,0.3675333333333333,High-Low,Not-Significant,Not-Significant,-0.19193714359889924,0.3675333380699158,Not-Significant
PER,Peru,0.240578,-0.03437420524887239,-0.37574446642866977,0.355,0.430040650406504,High-Low,Not-Significant,Not-Significant,-0.09514716206004271,0.430040637409784,Not-Significant
COL,Colombia,0.221327,0.019568451439012258,0.60269307619295,0.265,0.3725,High-High,Not-Significant,Not-Significant,0.23087071725906763,0.372499979891867,Not-Significant
PAN,Panama,0.211768,-0.0013859659724824898,-0.548407314566939,0.312,0.39065546218487396,High-Low,Not-Significant,Not-Significant,-0.24736735400247062,0.3906554702450247,Not-Significant
