iso3,GEOLEVEL1,CNTRY_NAME,ADMIN_NAME,n_records,low_sample,vulnerable_employment,redflag_sector,child_labour_comp,n_precarity,precarity_index,gdis_events,shock_index,risk_surface
ARG,032002,Argentina,City of Buenos Aires,140872,False,,,0.16198,1,,0.0,0.0,
ARG,032006,Argentina,Buenos Aires province,775426,False,,,0.26181,1,,110.0,0.8262,
ARG,032010,Argentina,Catamarca,17909,False,,,0.18916,1,,9.0,0.4039,
ARG,032014,Argentina,Córdoba,163587,False,,,0.21663,1,,26.0,0.5782,
ARG,032018,Argentina,Corrientes,48897,False,,,0.22899,1,,18.0,0.5165,
ARG,032022,Argentina,Chaco,52215,False,,,0.24544,1,,16.0,0.497,
ARG,032026,Argentina,Chubut,24992,False,,,0.19603,1,,12.0,0.45,
ARG,032030,Argentina,Entre Rios,61300,False,,,0.24806,1,,16.0,0.497,
ARG,032034,Argentina,Formosa,26187,False,,,0.23059,1,,14.0,0.4751,
ARG,032038,Argentina,Jujuy,33467,False,,,0.20726,1,,20.0,0.5341,
ARG,032042,Argentina,La Pampa,15558,False,,,0.18611,1,,7.0,0.3648,
ARG,032046,Argentina,La Rioja,16452,False,,,0.24009,1,,5.0,0.3143,
ARG,032050,Argentina,Mendoza,86382,False,,,0.19534,1,,8.0,0.3854,
ARG,032054,Argentina,Misiones,54640,False,,,0.25312,1,,8.0,0.3854,
ARG,032058,Argentina,Neuquén,26960,False,,,0.20115,1,,8.0,0.3854,
ARG,032062,Argentina,Río Negro,31224,False,,,0.1947,1,,11.0,0.4359,
ARG,032066,Argentina,Salta,59873,False,,,0.20133,1,,1.0,0.1216,
ARG,032070,Argentina,San Juan,33714,False,,,0.23387,1,,4.0,0.2823,
ARG,032074,Argentina,San Luis,21346,False,,,0.19295,1,,6.0,0.3414,
ARG,032078,Argentina,Santa Cruz,13197,False,,,0.17821,1,,6.0,0.3414,
ARG,032082,Argentina,Santa Fe,158169,False,,,0.23106,1,,31.0,0.608,
ARG,032086,Argentina,Santiago del Estero,43687,False,,,0.24439,1,,11.0,0.4359,
ARG,032090,Argentina,Tucumán,71793,False,,,0.21354,1,,3.0,0.2432,
