GEOLEVEL1,gdis_events,gdis_years
032006,110,30
032010,9,7
032014,26,15
032018,18,10
032022,16,13
032026,12,10
032030,16,12
032034,14,13
032038,20,11
032042,7,6
032046,5,5
032050,8,7
032054,8,7
032058,8,8
032062,11,10
032066,1,1
032070,4,4
032074,6,5
032078,6,5
032082,31,17
032086,11,11
032090,3,3
032094,2,2
040011,5,5
040012,7,6
040013,6,6
040021,9,8
040022,17,9
040031,13,9
040032,15,13
040033,12,10
040034,6,5
050010,86,30
050020,178,43
050030,201,38
050040,85,26
050050,290,35
050060,73,27
051901,2,2
051902,2,2
051903,2,2
051904,3,3
051906,2,2
051907,1,1
051908,4,4
051909,1,1
051911,3,3
068001,17,12
068002,52,28
068003,44,24
068004,17,13
068005,27,15
068006,25,18
068007,32,23
068008,27,20
068009,19,14
072001,3,2
072003,1,1
072004,1,1
072007,3,2
072010,2,2
072030,3,3
072040,1,1
072050,8,6
072051,4,3
072052,1,1
072053,1,1
072060,2,2
072070,1,1
072071,3,2
072072,1,1
072090,1,1
076011,1,1
076012,2,2
076013,11,7
076014,1,1
076015,6,2
076021,9,9
076022,14,13
076023,16,14
076024,15,14
076025,15,13
076026,54,26
076027,27,12
076028,9,8
076029,26,22
076031,53,24
076032,12,9
076033,72,26
076035,45,21
076041,24,13
076042,34,19
076043,30,19
076051,10,6
076052,3,2
104001,13,9
104002,2,2
104003,10,8
104004,6,3
104005,21,12
104006,7,7
104007,14,10
104008,18,11
104009,20,11
104010,8,8
104011,26,15
104012,7,5
104013,11,8
104014,26,15
104015,5,3
112001,19,9
112002,14,6
112003,25,8
112004,7,5
112006,24,11
112007,8,6
116001,5,4
116002,8,8
116003,10,9
116004,7,6
116005,12,10
116006,5,5
116007,14,9
116008,18,10
116009,10,5
116010,9,8
116011,1,1
116013,4,4
116014,10,9
116015,3,3
116016,5,5
116017,7,5
116019,8,6
116020,4,4
116021,9,7
116023,1,1
116024,1,1
120002,3,2
120003,1,1
120004,21,8
120005,1,1
120007,2,2
120008,4,4
120010,3,3
124010,8,5
124011,5,5
