iso3,n_units,risk_min,risk_max,risk_p90,risk_mean,risk_range,country_precarity,country_tier
THA,68,0.2596,0.7766,0.748,0.606,0.517,0.6676,high
ETH,11,0.2359,0.7276,0.651,0.5234,0.4917,0.671,high
PNG,20,0.1877,0.6442,0.5896,0.5274,0.4565,0.653,high
PHL,75,0.2713,0.7057,0.6543,0.5375,0.4344,0.4243,mid
VNM,39,0.3354,0.7489,0.7127,0.5837,0.4135,0.5939,high
ARM,11,0.1381,0.5386,0.5164,0.4153,0.4005,0.4389,high
MOZ,11,0.213,0.6042,0.5691,0.4789,0.3912,0.4807,high
CMR,7,0.2551,0.6295,0.5287,0.4323,0.3744,0.5265,high
SUR,7,0.1558,0.5234,0.4048,0.2897,0.3676,0.2775,mid
KEN,8,0.2425,0.6072,0.5755,0.4734,0.3647,0.398,mid
UGA,36,0.2311,0.5945,0.5071,0.4274,0.3634,0.5083,high
LAO,18,0.2598,0.6119,0.5944,0.5325,0.3521,0.6132,high
ZMB,8,0.3018,0.6476,0.6196,0.5021,0.3458,0.5602,high
COL,22,0.1625,0.4964,0.4524,0.3604,0.3339,0.2402,mid
GHA,10,0.3437,0.6482,0.5795,0.4788,0.3045,0.4951,high
HND,18,0.2128,0.5163,0.499,0.4308,0.3035,0.3686,mid
PER,25,0.2018,0.4965,0.4377,0.381,0.2947,0.2702,mid
BRA,25,0.1097,0.4007,0.3946,0.3195,0.291,0.2604,mid
IDN,26,0.3527,0.6391,0.5722,0.4928,0.2864,0.4389,high
TZA,23,0.2971,0.5831,0.5687,0.4983,0.286,0.5885,high
TUR,61,0.3094,0.5885,0.5203,0.4599,0.2791,0.4663,high
BEN,12,0.3231,0.6015,0.5344,0.477,0.2784,0.5292,high
ROU,39,0.2231,0.5009,0.4551,0.3781,0.2778,0.3258,mid
BFA,13,0.3925,0.6658,0.6164,0.5703,0.2733,0.6609,high
MNG,21,0.1745,0.442,0.4333,0.3473,0.2675,0.2518,mid
GIN,33,0.3616,0.6243,0.5896,0.5116,0.2627,0.6463,high
MAR,13,0.1415,0.402,0.3927,0.3093,0.2605,0.3077,mid
ESP,19,0.069,0.323,0.3016,0.22,0.254,0.1959,low
PRT,22,0.1029,0.342,0.3001,0.231,0.2391,0.1934,low
MEX,32,0.213,0.4481,0.3891,0.3077,0.2351,0.2322,mid
KGZ,8,0.136,0.3703,0.3417,0.2579,0.2343,0.2291,mid
MLI,8,0.4093,0.6426,0.641,0.5779,0.2333,0.6215,high
PRY,13,0.2606,0.4927,0.4892,0.4276,0.2321,0.3686,mid
SDN,15,0.3363,0.5667,0.5413,0.4532,0.2304,0.4565,high
USA,51,0.1405,0.3704,0.3355,0.2779,0.2299,0.0948,low
NIC,12,0.3154,0.5397,0.5332,0.4293,0.2243,0.3852,mid
SEN,8,0.3102,0.5305,0.5194,0.4356,0.2203,0.4009,mid
PAN,7,0.2457,0.4655,0.4414,0.3346,0.2198,0.2201,low
FJI,4,0.4367,0.6493,0.6214,0.5427,0.2126,0.5021,high
MMR,15,0.3215,0.5335,0.521,0.4462,0.212,0.457,high
EGY,24,0.0803,0.2881,0.2386,0.1786,0.2078,0.194,low
IRN,30,0.2472,0.4469,0.4268,0.3776,0.1997,0.3223,mid
GTM,22,0.3386,0.5347,0.4984,0.4374,0.1961,0.3947,mid
BWA,21,0.0945,0.2905,0.2546,0.1787,0.196,0.1846,low
