build,n_scored,R2_vs_gov,spearman_vs_gov,spearman_R_E,resid_sd_given_gov,kendall_tau_vs_locked
LOCKED,183,0.826,0.942,0.914,0.056,1.0
v0.3 (=base),184,0.652,0.797,0.738,0.0785,0.806
v0.4 w=0.5,184,0.621,0.786,0.665,0.0772,0.786
v0.4 w=0.25 [HEADLINE],184,0.586,0.764,0.586,0.0773,0.758
v0.4 w=0.0 (drop),147,0.481,0.7,0.477,0.0807,0.698
v0.4 IPUMS-replace (sens),180,0.637,0.79,0.676,0.0774,0.792
v0.4-SPU w=0.75,184,0.642,0.794,0.722,0.079,0.8
v0.4-SPU w=0.5 [SHIPPED],184,0.627,0.785,0.697,0.0798,0.79
v0.4-SPU w=0.25 (sweep arm),184,0.602,0.771,0.654,0.0812,0.775
v0.4-SPU w=0.0 (drop),148,0.533,0.741,0.609,0.0852,0.742
