iso3,country_name,v0_4_composite,v0_4_R,v0_4_E,v0_3_composite,v0_4_w05_composite,v0_4_w00_composite,v0_4_iprepl_composite,v0_4_spu_w075_composite,v0_4_spu_w05_composite,v0_4_spu_w05_R,v0_4_spu_w05_E,v0_4_spu_w025_composite,v0_4_spu_w00_composite,v0_4_spu_rank,locked_composite,v0_4_rank,v0_3_rank,gov_risk_wgi
YEM,Yemen,0.6372814319751479,0.6123970422087672,0.6631769841269832,0.6623920354017704,0.6461762342747679,,0.6239090732408742,0.6646367364516537,0.6679896449475935,0.6360390485561779,0.7015452380952374,0.6735407359252475,,1.0,0.564584,1.0,3.0,0.8803
TCD,Chad,0.6183746380984053,0.579829138808446,0.6594825396825397,0.6668650079215218,0.6396038777412454,,0.6362551471732233,0.6632575346479789,0.6578092314516651,0.6028117491025635,0.7178244047619047,0.6486270354956608,,2.0,0.512052,2.0,2.0,0.7889
SSD,South Sudan,0.6009738439052384,0.614559375,0.5876886363636351,0.6421796145777756,0.6210390755521658,,0.6649033291330849,0.6354272112737833,0.6251618718372484,0.6283260416666666,0.622013636363635,0.607667733731884,,3.0,0.57579,3.0,4.0,0.8945
SYR,Syria,0.5844928758149699,0.6471455835608626,0.5279058229813665,0.571785464375184,0.5790578011163756,0.5921996348978018,0.571785464375184,0.5740176546771683,0.5769804751417962,0.6396609681762472,0.5204420548654244,0.5811030457966465,0.5872326383496315,7.0,0.454371,4.0,10.0,0.8627
AFG,Afghanistan,0.571013466918955,0.7311774093350378,0.4459333333333333,0.667669517290737,0.6185536083632189,,0.623022924049725,0.6546059395378433,0.634506472556969,0.7318308815572601,0.550125,0.5995117539415967,,4.0,0.614029,5.0,1.0,0.8871
UGA,Uganda,0.5685362695471281,0.47400469874904766,0.6819204337923542,0.5849188262718494,0.5752778776597172,0.5594980226121118,0.5624566402141098,0.5833947774191783,0.5813564973206649,0.47633375889233576,0.7095347971197308,0.5784908399419334,0.5741655373464875,8.0,0.370888,6.0,7.0,0.6477
SDN,Sudan,0.5658559125132886,0.6606457098872927,0.484666605616605,0.6293113601441519,0.5951648053640115,,0.5895984089784966,0.6229792582138046,0.6133585479976879,0.6689790642739191,0.5623624542124537,0.5969795882584106,,5.0,0.537574,7.0,5.0,0.8547
COD,"Congo, The Democratic Republic of the",0.5634120898716135,0.5267581510868364,0.6026165563049257,0.6181091560256736,0.5867113894338235,0.5303464062296175,0.5999733038804287,0.6106862702371725,0.6006464100012697,0.5517338857524975,0.6538951461271206,0.5863018460785603,0.5641014731559378,6.0,0.510025,8.0,6.0,0.8253
MMR,Myanmar,0.5580830503062687,0.4363911078412771,0.7137099850174566,0.5846323992186837,0.5692972116921348,0.5424795098437017,0.5749269965347921,0.5812603994828877,0.5767337326659114,0.4489947764561589,0.740814405503965,0.5703360442209519,0.5606026317739476,9.0,0.507692,9.0,8.0,0.8623
ETH,Ethiopia,0.5504598031285708,0.46035680245053506,0.6581981481481479,0.5807651257155095,0.5639600455463958,0.593112346733579,0.5837637801086798,0.5778999086909449,0.5735752472792728,0.47820808324490416,0.6879611111111109,0.5662940908535125,0.621043271015649,10.0,0.408512,10.0,9.0,0.7098
RWA,Rwanda,0.5453259810054767,0.4699865252833264,0.6327424501804874,0.5598857232764954,0.5509852477689255,0.5385790479346836,0.5539568368187642,0.5603351172201735,0.5609337490933135,0.47324503521293926,0.6648705162438806,0.5617707620251424,0.5630239482987844,11.0,0.258637,11.0,12.0,0.4799
CAF,Central African Republic,0.527335147904203,0.552646202275806,0.5031833333333333,0.5584940824476102,0.5422494197876433,,0.5584940824476102,0.5537697264113907,0.5466066360106407,0.567669813386917,0.5263249999999999,0.534454852099539,,14.0,0.484554,12.0,13.0,0.843
MOZ,Mozambique,0.5126253353151222,0.4029507971407575,0.6521509233176832,0.5407642683257269,0.5239901378341812,0.4980339831627367,0.5187724002632038,0.5396174134044949,0.5380844711734604,0.420605599805413,0.6883762323943656,0.5359309857567051,0.5326844343120514,13.0,0.37551,13.0,15.0,0.739
KEN,Kenya,0.5046483863208063,0.351286042266365,0.7249647386305448,0.51029256025603,0.5063566679308555,0.5037172585059487,0.48644808408705237,0.5123066209033568,0.514979782301951,0.35877279157506287,0.7391981287529671,0.5186990644694218,0.5242285135644439,19.0,0.286423,14.0,25.0,0.5929
MWI,Malawi,0.5012812649732513,0.3645721631492023,0.6892542328042327,0.5300354380918428,0.5134300306143654,0.5227845966087641,0.5247293196576488,0.5284191139564324,0.5259853149437108,0.38473889926031346,0.7190865079365079,0.521903762622629,0.5588158548883789,16.0,0.271673,15.0,20.0,0.5293
HTI,Haiti,0.5007317088032939,0.3557230577305888,0.7048523809523808,0.53665512154137,0.5149358776226605,,0.5319228365190293,0.53665512154137,0.53665512154137,0.38763467506341936,0.7429642857142856,0.53665512154137,,12.0,0.407074,16.0,17.0,0.8207
BFA,Burkina Faso,0.4997755972636419,0.40601609904565,0.6151865608465608,0.5387360061325881,0.5160288413702248,0.47754707693466525,0.5372676237879673,0.5344364519149761,0.5286493200391329,0.4279449112628446,0.6530515873015872,0.5204392366041919,0.5078753214383711,17.0,0.369134,17.0,16.0,0.6768
ZWE,Zimbabwe,0.49817805650315095,0.35902115995720624,0.6912722804718218,0.5200940801981574,0.5069749803124233,0.4870534762899219,0.5088759089939205,0.5195928469153778,0.5189237827564279,0.37814446281039876,0.7121138051550896,0.5179856410680693,0.5165752340331332,20.0,0.377297,18.0,22.0,0.7422
